id,bundle,actual_price,discounted_price
9htHwjafD2juNA2YVoa2HG,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",8.850000000000001,-2.04
gFPmzhdiEtjadYvkJyUagn,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",16.85,-23.06
99urbuKPKcL3suiWg2t9oC,"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",4.949999999999999,-1.6
FDyoDAoCnvjn9tPQWUoC95,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",16.85,-28.02
KNo2HRdqvJoPnAc8MNCYhu,"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",4.949999999999999,1.88
ET3jpPmmrLQ4vdTwgH2Ucb,"ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",16.85,-30.85
2JsTcQcPCmiTKETeyccVKu,"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE",4.949999999999999,-0.31
2DewNJer6uARDwonERkmQA,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",19.8,-27.99
dkEKt4zRctwhpdcADLKKV9,"SET OF 3 WOODEN HEART DECORATIONS, SET OF 3 WOODEN TREE DECORATIONS, SET OF 3 WOODEN STOCKING DECORATION",6.25,-9.55
VLnwzAcfm6o72vUkiycMgV,"SET/20 RED RETROSPOT PAPER NAPKINS, SET/6 RED SPOTTY PAPER CUPS, SET/6 RED SPOTTY PAPER PLATES",2.14,-3.56
