id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
c4ngjp24VR5xRq3uNf47Hi,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,4.67,-2.27,1.89
3ZU4itFj6hXpasKKjvafJJ,WHITE METAL LANTERN,71053,3.39,4.23,1.76,0.48
gTyv8qimMQgMz97NGSSfJV,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,4.54,3.41,-0.24
BESy6XcoLvrJTW2r4QatuX,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,3.9,3.32,0.02
R4tjgRXsMN8tujCBqMjY5p,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,4.46,-0.47,1.14
8x7HwCqFGraGrKBuUQwmBU,SET 7 BABUSHKA NESTING BOXES,22752,7.65,12.25,-23.41,4.06
9QRY7sjTyBcU2faaeSHyiT,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,7.51,3.31,0.22
VUuPXa9pGWavKXVWLRDoYi,HAND WARMER UNION JACK,22633,1.85,2.46,1.29,0.3
YswaFuSRev4S4HzyXqhcMJ,HAND WARMER RED POLKA DOT,22632,1.85,2.02,1.92,-0.04
V8k9BWrak3v2h9HhBbBSsn,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,2.01,-6.68,4.95
Ej2TuikJxhirkxGbsD67Zf,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,3.66,-7.35,4.5
MvHi8vM6mXxsDhfqXVfvSv,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,2.86,0.55,0.74
Dp3bYM86fncMh39C9xQ8pt,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,5.13,-10.57,3.82
h7CWxZ2hYrdLiYhhhhQhzZ,IVORY KNITTED MUG COSY,22310,1.65,2.47,-3.96,3.4
nH4dfHoSF27Gy9h4aXDVjW,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,7.27,-8.5,3.0
5GmvRrNGd75skYFNRvToAX,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,5.23,-14.6,3.95
g96vQwbX7ooD5D4PPab75V,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,14.14,-21.89,3.2
9xgwxFpfbtWrzrKPsfMS46,HOME BUILDING BLOCK WORD,21754,5.95,6.48,-12.67,3.13
VSwqnnRYbEKw4rKQa2Cgji,LOVE BUILDING BLOCK WORD,21755,5.95,7.82,-16.01,3.69
h2nnN95S8dVvjzYoMW8n7z,RECIPE BOX WITH METAL HEART,21777,7.95,13.24,-8.75,2.1
U74PganrZWSpXDR4MmyLa5,DOORMAT NEW ENGLAND,48187,7.95,8.9,-1.19,1.15
fsGd37Sc3eaF3ty4dKBxYr,JAM MAKING SET WITH JARS,22960,4.25,5.28,-6.84,2.61
P4gDWPDB2LGftvfBjDCJZn,RED COAT RACK PARIS FASHION,22913,4.95,7.96,-3.46,1.7
KCCVi9VdAZQ4BiVBqUeP9K,YELLOW COAT RACK PARIS FASHION,22912,4.95,6.53,-9.95,3.01
BB89roNR4Y6BW4iTKzdKgW,BLUE COAT RACK PARIS FASHION,22914,4.95,8.85,-16.98,4.43
mqYpkdLDMyL4hMvsoFSzAQ,BATH BUILDING BLOCK WORD,21756,5.95,9.41,-4.94,1.83
LTRvCT8hqjmjvqPKTjy9Px,ALARM CLOCK BAKELIKE PINK,22728,3.75,7.41,-0.41,1.11
YnCTF9qFeHqtQZx9px9nNg,ALARM CLOCK BAKELIKE RED,22727,3.75,7.43,-1.13,1.3
CNeJuRhRw2i56ovTUAHvWK,ALARM CLOCK BAKELIKE GREEN,22726,3.75,7.12,-5.17,2.38
G4jkxGBzbNaSuVUJUJPyTj,PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.97,0.05,0.94
QDUZ5HujFrtnMNeTSJSyuz,STARS GIFT TAPE,21883,0.65,1.11,-1.22,2.87
dMqrX2qS9MGxPtrKxAcP5T,INFLATABLE POLITICAL GLOBE,10002,0.85,0.97,-0.67,1.79
D2WDpVSkcPQjUYS9eHdycy,VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,1.48,-0.89,1.71
3igASNp5gSuxgfakvZeDTi,SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,4.24,-9.85,4.34
WcXENjmwYAwmusrRBgSTEd,ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,3.68,-6.05,3.05
3VH9vXvYuq9PreCBNfHVkm,SPACEBOY LUNCH BOX,22629,1.95,2.47,1.33,0.32
EbyZyKsLVnJzXyVHb5p2Rv,LUNCH BOX I LOVE LONDON,22659,1.95,2.79,-2.07,2.06
JYfMQFtrXkzdNX9nrTKfER,CIRCUS PARADE LUNCH BOX,22631,1.95,3.26,-2.69,2.38
6a2eJK6Fy3xbbdoduAeEhG,CHARLOTTE BAG DOLLY GIRL DESIGN,22661,0.85,1.41,1.28,-0.51
ZCoh9DvkVeKbKwtFWAi7SK,RED TOADSTOOL LED NIGHT LIGHT,21731,1.65,2.98,-5.82,4.53
XTy9JyCVyrvuwtHNQ6aYAk,SET 2 TEA TOWELS I LOVE LONDON,22900,2.95,3.22,2.33,0.21
8p589AqZ7bEFxsFxWmbof2,VINTAGE SEASIDE JIGSAW PUZZLES,21913,3.75,6.85,1.43,0.62
fFfCqyF9XhvsWayuRdP8F9,MINI JIGSAW CIRCUS PARADE,22540,0.42,0.59,-0.14,1.33
5Ac326nrtvXeYPcbWLJqfg,MINI JIGSAW SPACEBOY,22544,0.42,0.56,-0.32,1.75
5FtvwqP249fzbVyHw5p4Z4,MINI PAINT SET VINTAGE,22492,0.65,1.19,-2.37,4.65
