basket,next_product,proba
"{'22916', '22921'}",{'22918'},0.9735099337748344
"{'22916', '22921'}",{'22917'},0.9735099337748344
"{'22917', '22921'}",{'22918'},0.9675324675324675
"{'22921', '22919'}",{'22918'},0.961783439490446
"{'22918', '22921'}",{'22919'},0.961783439490446
"{'22918', '22916', '22920'}",{'22917'},0.9612903225806451
"{'22916', '22919', '22920'}",{'22917'},0.9607843137254903
"{'22916', '22918', '22919'}",{'22917'},0.9556962025316456
"{'22918', '22917', '22920'}",{'22916'},0.9551282051282051
"{'22917', '22921'}",{'22916'},0.9545454545454545
"{'22918', '22916'}",{'22917'},0.9534883720930233
"{'22916', '22919'}",{'22917'},0.9520958083832336
"{'22916', '22917', '22919'}",{'22918'},0.949685534591195
"{'22918', '22921'}",{'22917'},0.9490445859872612
"{'23172', '23170'}",{'23171'},0.9487179487179488
"{'20723', '22356', '20727'}",{'20724'},0.9479768786127166
"{'22916', '22920'}",{'22917'},0.9470588235294118
"{'22916', '22919'}",{'22918'},0.9461077844311377
"{'22579', '22577'}",{'22578'},0.9441340782122906
"{'22917', '22918', '22919'}",{'22916'},0.9437500000000001
"{'22917', '22919', '22920'}",{'22916'},0.9423076923076924
"{'23204', '22356', '20723'}",{'20724'},0.9375000000000001
"{'22918', '22917'}",{'22916'},0.9371428571428572
"{'22918', '22921'}",{'22916'},0.9363057324840766
"{'22356', '20723', '20719', '22355'}",{'20724'},0.9330143540669856
"{'23172', '22699'}",{'23170'},0.9325153374233128
{'22916'},{'22917'},0.9322916666666666
"{'22356', '20723', '20719'}",{'20724'},0.9311740890688257
"{'22356', '20723', '21212'}",{'20724'},0.930635838150289
"{'22917', '22920'}",{'22916'},0.930635838150289
"{'22917', '22919'}",{'22918'},0.9302325581395349
"{'22919', '22920'}",{'22917'},0.9285714285714286
"{'22917', '22916', '22920'}",{'22918'},0.9254658385093166
"{'23172', '23171'}",{'23170'},0.9249999999999999
"{'22918', '22919'}",{'22917'},0.9248554913294796
"{'22916', '22917', '22919'}",{'22920'},0.9245283018867925
"{'22917', '22919'}",{'22916'},0.9244186046511629
{'22921'},{'22918'},0.9235294117647058
{'22921'},{'22919'},0.9235294117647058
"{'22918', '22920'}",{'22917'},0.923076923076923
"{'22356', '20723', '20728'}",{'20724'},0.923076923076923
"{'22356', '20723', '22355'}",{'20724'},0.9215686274509803
"{'22917', '22918', '22916'}",{'22919'},0.9207317073170732
"{'23172', '22699'}",{'23171'},0.9202453987730062
"{'22918', '22916'}",{'22919'},0.9186046511627908
"{'22918', '22920'}",{'22916'},0.9171597633136094
"{'22919', '22920'}",{'22918'},0.9166666666666667
"{'22917', '22916'}",{'22918'},0.9162011173184358
"{'22916', '22919'}",{'22920'},0.9161676646706587
"{'22961', '21934'}",{'21935'},0.9161676646706587
"{'22698', '23171'}",{'22697'},0.9161676646706587
{'23172'},{'23171'},0.916030534351145
"{'20723', '20727', '22355'}",{'20724'},0.9153439153439153
"{'22918', '22917'}",{'22919'},0.9142857142857143
"{'22918', '22919'}",{'22916'},0.9132947976878613
{'22917'},{'22916'},0.9132653061224489
"{'22917', '22916', '22920'}",{'22919'},0.9130434782608695
"{'22356', '20727', '20719'}",{'20724'},0.9120879120879121
"{'22386', '21931', '21928', '22411'}",{'85099B'},0.9117647058823529
"{'22916', '22920'}",{'22918'},0.9117647058823529
{'22918'},{'22917'},0.9114583333333333
"{'22918', '22920'}",{'22919'},0.9112426035502958
"{'22919', '22920'}",{'22916'},0.9107142857142857
"{'22386', '85099C', '21928'}",{'85099B'},0.9096045197740114
"{'22356', '20719', '22383'}",{'20724'},0.9085365853658537
"{'22917', '22918', '22916'}",{'22920'},0.9085365853658537
"{'22356', '20719', '20728'}",{'20724'},0.9079754601226994
"{'20723', '21212', '22355'}",{'20724'},0.9069767441860466
"{'22917', '22919'}",{'22920'},0.9069767441860466
{'22921'},{'22917'},0.9058823529411765
"{'84596F', '84596G'}",{'84596B'},0.9050279329608939
"{'23204', '22356', '20719'}",{'20724'},0.9047619047619048
"{'22916', '22919'}","{'22918', '22917'}",0.9041916167664671
"{'20723', '20719', '20727'}",{'20724'},0.9037433155080214
"{'22386', '20711', '21931'}",{'85099B'},0.903061224489796
"{'22699', '22698', '22423'}",{'22697'},0.9022556390977444
"{'22917', '22920'}",{'22918'},0.9017341040462427
"{'22917', '22920'}",{'22919'},0.9017341040462427
"{'22356', '22355', '21212'}",{'20724'},0.9016393442622952
"{'22918', '22916'}",{'22920'},0.9011627906976745
{'22918'},{'22919'},0.9010416666666666
"{'22699', '22698'}",{'22697'},0.9006085192697768
