id,bundle,actual_price,discounted_price
SRJgRR255JCsK7orZ6ZmD2,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",8.850000000000001,-2.04
2gpvBtQ5hXgBoMpMmR98wF,"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI, JUMBO BAG RED RETROSPOT",5.55,-13.56
iTh8JrLRragTyhtq5ddgwc,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI, JUMBO SHOPPER VINTAGE RED PAISLEY",5.55,-11.84
nbSodYXqVZVgQjaBmcPoWf,"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY, JUMBO BAG RED RETROSPOT",5.55,-12.62
3ZGzseWEz5Bm8isWemBneQ,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",16.85,-28.02
bXN35bxRKppoyiR6toY34J,"JUMBO BAG PINK POLKADOT, JUMBO BAG WOODLAND ANIMALS, JUMBO BAG RED RETROSPOT",5.55,-15.08
2AEreELhMbVawCg37kNEHo,"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",4.949999999999999,-3.17
2ptLRz7WVAxZqJjfLko5vg,"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI  DESIGN, LUNCH BAG RED RETROSPOT",4.949999999999999,-3.07
cApMut3qCRrPEGDmL6CXVa,"STRAWBERRY CHARLOTTE BAG, RED RETROSPOT CHARLOTTE BAG, CHARLOTTE BAG SUKI DESIGN",3.36,-0.99
AAdFj6wMMhCXJgsj5rm9mn,"WOODLAND CHARLOTTE BAG, RED RETROSPOT CHARLOTTE BAG, CHARLOTTE BAG SUKI DESIGN",4.17,-6.69
