InvoiceDate,Quantity,Month
2024-12-10,25476,December
2024-12-11,23779,December
2024-12-12,26689,December
2024-12-13,27102,December
2024-12-14,26716,December
2024-12-15,27852,December
2024-12-16,24134,December
2024-12-17,23550,December
2024-12-18,21639,December
2024-12-19,24380,December
2024-12-20,24672,December
2024-12-21,24215,December
2024-12-22,25336,December
2024-12-23,21655,December
2024-12-24,21163,December
2024-12-25,21272,December
2024-12-26,24204,December
2024-12-27,22853,December
2024-12-28,22669,December
2024-12-29,24093,December
2024-12-30,20741,December
2024-12-31,20592,December
