id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
PC2ateVtar7F96T4LAczZQ,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,1.4,1.99,0.22
FUmgPgJKTQqJsEnL5vcfMr,WHITE METAL LANTERN,71053,3.39,0.58,2.27,0.33
cvEJW5C9SL22NdxMrRdvdh,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,2.64,2.69,0.02
57xLimSFCmu5BrECaVvDei,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,2.6,2.61,0.23
NMQ5XeVRD3uFFbmDKgitNP,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,2.81,3.12,0.08
PTNq9ViYVqUzS6QgPDfxVE,SET 7 BABUSHKA NESTING BOXES,22752,7.65,3.0,3.83,0.5
maTvV35cgGkLbt3HqrogxZ,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,1.19,4.04,0.05
2rj3UN5mXUT6dxDcEiWB4e,HAND WARMER UNION JACK,22633,1.85,1.43,1.48,0.2
gakNYrhu2ELcN8bQmnYzM7,HAND WARMER RED POLKA DOT,22632,1.85,1.42,1.81,0.02
AzdoAeeNWrz5tenkuynaHm,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,1.67,1.66,0.02
bQ9jJQrqM8477bR4JJRphz,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,1.44,1.49,0.29
nYB8RMwVNS8nS8nek48Syh,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,1.47,1.93,0.08
NfLTUbDSvhxYeYUG8hcJzN,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,0.85,2.21,0.41
KjMJxXJtSpYqmQnYaZuUUc,IVORY KNITTED MUG COSY,22310,1.65,0.08,1.14,0.31
7u2pvZtSo3wcbVHRAhpNha,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,3.85,3.91,0.08
Z9xQwkttMvC6My2RTtNuZs,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,4.89,4.85,0.02
MggshfeBz2QxWQHSy9vojw,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,0.26,0.7,0.93
PJ3U6kPh3Xyd6h2YTR23ds,HOME BUILDING BLOCK WORD,21754,5.95,4.85,5.06,0.15
2wtPQ6vPfgsDL3BqETJV5j,LOVE BUILDING BLOCK WORD,21755,5.95,4.36,5.53,0.07
cjeKkeaD98FxqRNrvGgUMM,RECIPE BOX WITH METAL HEART,21777,7.95,0.69,2.15,0.73
KXY23jiZnS4RatP5MaaTNA,DOORMAT NEW ENGLAND,48187,7.95,5.06,6.04,0.24
c7s9wqHEGQBDdFcWP2ogJE,JAM MAKING SET WITH JARS,22960,4.25,3.53,3.61,0.15
MAN8TAV5qro5iaTihRktoh,RED COAT RACK PARIS FASHION,22913,4.95,1.01,4.75,0.04
HgUAxtwEbAns6dM3ToWv6C,YELLOW COAT RACK PARIS FASHION,22912,4.95,0.45,2.92,0.41
CP2YzUCy2TNCmNbXJRGmq7,BLUE COAT RACK PARIS FASHION,22914,4.95,3.34,4.21,0.15
bCMnPuAXZic2Vhkxet5aRD,BATH BUILDING BLOCK WORD,21756,5.95,5.95,5.95,0.0
FmsVMACFaWRT2cJgNjtYGH,ALARM CLOCK BAKELIKE PINK,22728,3.75,1.69,3.34,0.11
mgiuiTYHxgHNy2HxnUCFN6,ALARM CLOCK BAKELIKE RED,22727,3.75,3.36,3.49,0.07
ZW74ybw4729EwJar4FvuSy,ALARM CLOCK BAKELIKE GREEN,22726,3.75,3.65,3.67,0.02
RCpwffVDt7FnbrFWYQKUyL,PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.49,0.82,0.03
Udz9CE5dfaEbcpoKR8bgKC,STARS GIFT TAPE,21883,0.65,0.47,0.5,0.23
Ni5DdRREFM24dAc8XFW6N3,INFLATABLE POLITICAL GLOBE,10002,0.85,0.43,0.82,0.03
VJaRXAkScSDzYsfUHsFcQk,VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,0.73,1.05,0.16
K8M3e4ABk6tJRNVHvDgYss,SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,2.94,2.89,0.02
P7zfHMzEP5kpAZtgAtPxN3,ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,1.63,1.95,0.34
DTvrfTpmdpdG5eKQAMU5Da,SPACEBOY LUNCH BOX,22629,1.95,0.5,1.36,0.3
EZRMoqo4VGAeWZkaMzBi3t,LUNCH BOX I LOVE LONDON,22659,1.95,1.48,1.68,0.14
kWcibu8fBBGNw7UvToA4VL,CIRCUS PARADE LUNCH BOX,22631,1.95,0.84,1.5,0.23
