id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
XygLs25S8M97XixLfYoydt,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,0.96,1.1,0.57
S9L57yrvGxP9kd8WTHQXAC,WHITE METAL LANTERN,71053,3.39,1.56,1.97,0.42
j98BWPY7uUkaTvXG3eKfio,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,2.03,2.48,0.1
2F4x8Apyp3GwvK9GbCfDjM,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,1.07,1.49,0.56
epKMVV6t4vYcvQHjyKfJK9,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,1.11,2.75,0.19
eSa8cgAzZZP2RBJNQh3TxW,SET 7 BABUSHKA NESTING BOXES,22752,7.65,5.63,6.04,0.21
M3v5jvyAR8dnU8o2xjPDn2,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,1.94,2.38,0.44
FDihuxA47QwMhnWHKsWnfK,HAND WARMER UNION JACK,22633,1.85,0.78,0.87,0.53
S3FFyu6QjwUd9yLVnEAjVK,HAND WARMER RED POLKA DOT,22632,1.85,1.76,1.81,0.02
23ZNqGxFpPsvuGi4MQUdWk,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,0.6,1.44,0.15
DqT6cQcL8sanJkH4GrFood,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,0.44,1.2,0.43
bNotbYXA5tz3aDxxdraU2j,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,1.58,1.97,0.06
KECtTcdXbGe6HHsPtmbmXZ,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,1.82,2.77,0.26
Q4xmZdFFbFqwZjm7yr9cra,IVORY KNITTED MUG COSY,22310,1.65,0.66,0.87,0.47
MYCaz4dTPVGk6jFtQ8iE3C,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,2.89,3.7,0.13
hgHDvNLTr6hQi543H7jDoP,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,3.86,3.91,0.21
Jw9BHVwAsPHYjSCThjK7n9,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,1.3,9.15,0.08
f4iAUn2WsNQKa3rbgKPV8q,HOME BUILDING BLOCK WORD,21754,5.95,5.11,5.71,0.04
hvsy5BVfuy5HxCY2ojbi5u,LOVE BUILDING BLOCK WORD,21755,5.95,2.72,5.41,0.09
6NcSwPWrL4Pah7TTJyxKxo,RECIPE BOX WITH METAL HEART,21777,7.95,5.84,5.88,0.26
TRuVirtxq8Ai4RmMfSYdCL,DOORMAT NEW ENGLAND,48187,7.95,3.24,5.49,0.31
MfHrNH5mojcfwBJbhwAEW3,JAM MAKING SET WITH JARS,22960,4.25,1.02,2.08,0.51
V796E6Au388dBhJWJG5WUm,RED COAT RACK PARIS FASHION,22913,4.95,2.09,2.87,0.42
QtSBPpKn9g28C2SmE5JWAz,YELLOW COAT RACK PARIS FASHION,22912,4.95,1.38,3.42,0.31
NKZLeZ5wPU48K3BKbwKqmk,BLUE COAT RACK PARIS FASHION,22914,4.95,3.77,4.5,0.09
VnpeMZD328EZPsPwNk7jxR,BATH BUILDING BLOCK WORD,21756,5.95,0.53,1.49,0.75
MhsQPyeB9kyjmps28k34Pp,ALARM CLOCK BAKELIKE PINK,22728,3.75,0.41,3.08,0.18
c5RtPWZdVUBTWNdjqHWiKL,ALARM CLOCK BAKELIKE RED,22727,3.75,3.13,3.49,0.07
ZgkcfDtxfrrVxpDqKaPacD,ALARM CLOCK BAKELIKE GREEN,22726,3.75,1.11,2.96,0.21
3jN6xtLxzznHzda3ijdN4L,PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.69,0.73,0.14
Gv5sgBUmWYx3sQoY3XTWTm,STARS GIFT TAPE,21883,0.65,0.48,0.64,0.02
CebC5gTj5oYr3ZnHM7ngxw,INFLATABLE POLITICAL GLOBE,10002,0.85,0.54,0.55,0.35
GCW5NKp5Brc3jrveyMuMf4,VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,0.83,1.09,0.13
kCUKjp7k2nD96iue9DEcE2,SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,0.42,2.12,0.28
QT2pkMyzx2TEzRFxMP9ksK,ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,0.93,2.48,0.16
fKeeHMdspwvkVJfBXCFYso,SPACEBOY LUNCH BOX,22629,1.95,1.56,1.64,0.16
g9KuvnKikJGLyR45Fe8LFL,LUNCH BOX I LOVE LONDON,22659,1.95,1.15,1.72,0.12
R47ZMDtZtvpWhi62ootq7k,CIRCUS PARADE LUNCH BOX,22631,1.95,1.36,1.7,0.13
ZPf4AGER6wtNtai2uANJo3,CHARLOTTE BAG DOLLY GIRL DESIGN,22661,0.85,0.48,0.71,0.17
m3USmnwbcQrhr6GcLhtvH6,RED TOADSTOOL LED NIGHT LIGHT,21731,1.65,1.25,1.32,0.2
Hm7PE28XG4jcXdXTPjho6f,SET 2 TEA TOWELS I LOVE LONDON,22900,2.95,0.66,2.18,0.26
HHTzazkaemEtGJUKEVfRi7,VINTAGE SEASIDE JIGSAW PUZZLES,21913,3.75,0.54,3.41,0.09
ivdCFjpgyTRvU2LVETs2YU,MINI JIGSAW CIRCUS PARADE,22540,0.42,0.18,0.29,0.32
52uomPJFYUQTMyMjwSwJjM,MINI JIGSAW SPACEBOY,22544,0.42,0.23,0.4,0.05
UUqQpYiEpKEn3k2ATn8Znu,MINI PAINT SET VINTAGE,22492,0.65,0.36,0.59,0.1
mLMkx7JAMZ2CfoXZpxhet8,PAPER CHAIN KIT 50'S CHRISTMAS,22086,2.55,0.7,1.2,0.53
AWTmnwnMoXEJBZWHqtNDDC,EDWARDIAN PARASOL RED,20679,4.95,1.17,2.23,0.55
NYKkejoJJ6u8WJfZ3TruEc,RETRO COFFEE MUGS ASSORTED,37370,1.06,0.2,0.6,0.43
86R59muavJmTvyUNnL6T3h,SAVE THE PLANET MUG,21871,1.06,1.01,1.03,0.03
jd9sVR4Aq3Aw6o85RoD2a9,VINTAGE BILLBOARD DRINK ME MUG,21071,1.06,0.1,0.31,0.71
XQmmEFe3eYn7YiDiBdYDJJ,VINTAGE BILLBOARD LOVE/HATE MUG,21068,1.06,0.93,1.0,0.06
HUo7ZcJs2prjqc9PFWFKHd,WOOD 2 DRAWER CABINET WHITE FINISH,82483,4.95,1.4,1.83,0.63
BQ662CnNevXSj94UYQo82e,WOOD S/3 CABINET ANT WHITE FINISH,82486,6.95,6.63,6.74,0.03
6rJwUc2nmkkoaabF8PpqCr,WOODEN PICTURE FRAME WHITE FINISH,82482,2.1,1.68,1.99,0.05
KvY4hUaKpQqpZDJsfVu2Am,WOODEN FRAME ANTIQUE WHITE,82494L,2.55,2.14,2.37,0.07
EzJ3WCgsNvs37sEuzHV4Y3,VICTORIAN SEWING BOX LARGE,21258,10.95,6.65,8.98,0.18
hjswLAdxnD4fnUUydJJQRy,HOT WATER BOTTLE TEA AND SYMPATHY,22114,3.45,2.01,3.28,0.05
Fe6W4dG5CQiY9MuMDUkWmj,RED HANGING HEART T-LIGHT HOLDER,21733,2.55,0.46,2.09,0.18
bwuZMjY5xMj44J3peLDEvY,JUMBO BAG PINK POLKADOT,22386,1.95,0.61,1.75,0.1
MVqhX2rjMcNiPUABkViFzw,JUMBO  BAG BAROQUE BLACK WHITE,85099C,1.95,1.12,1.62,0.17
SVNC3RD3wQdu68Yg8iMPtJ,JUMBO BAG CHARLIE AND LOLA TOYS,21033,2.95,1.05,2.74,0.07
