id,bundle,actual_price,discounted_price
JYm4TJZMfySJ8HMNU7SMA9,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",8.850000000000001,-2.04
dqiv97JfQAr4dis73bGJY6,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",16.85,-23.06
nvSudn23dkKDaTYFBQT24g,"SMALL WHITE HEART OF WICKER, HEART OF WICKER LARGE, LARGE WHITE HEART OF WICKER",7.19,-11.59
ayrB9oGZELHxdpTNqDFHDp,"BATHROOM METAL SIGN, TOILET METAL SIGN, KITCHEN METAL SIGN",1.6500000000000001,-2.22
M9VGwuCq9JZEyq8JH8jTyh,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",16.85,-28.02
QeGktXh92yvFKeSjm4KUVZ,"LARGE WHITE HEART OF WICKER, SMALL WHITE HEART OF WICKER, HEART OF WICKER SMALL",6.090000000000001,-9.2
LJh7X6hVMFQGjUBLbZgteS,"SPACEBOY LUNCH BOX, LUNCH BAG SPACEBOY DESIGN, DOLLY GIRL LUNCH BOX",5.55,-5.67
aQbfmUrRM5nfuvbBV9GdKm,"SMALL WHITE HEART OF WICKER, HEART OF WICKER LARGE, HEART OF WICKER SMALL",5.69,-3.27
9yffhWiZTpamZfH93PtS5W,"HEART OF WICKER SMALL, HEART OF WICKER LARGE, LARGE WHITE HEART OF WICKER",6.95,-7.06
MKJbuzpuuRtyEFJw7yfTQb,"WOODEN TREE CHRISTMAS SCANDINAVIAN, WOODEN STAR CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",2.55,-4.99
