itemset,support
"{'22697', '22699', '22698'}",0.030272039271834732
"{'22386', '21931', '85099B'}",0.026999386377582327
"{'85099B', '21931', '22411'}",0.025363059930456126
"{'22386', '22411', '85099B'}",0.0247494375127838
"{'22697', '22699', '22423'}",0.022840389991136564
"{'22386', '20712', '85099B'}",0.022090407036203723
"{'20727', '22384', '20725'}",0.021885866230312946
"{'20727', '22383', '20725'}",0.02174950569305243
"{'20723', '20724', '22355'}",0.021681325424422172
"{'20719', '20724', '22355'}",0.021613145155791914
"{'85099B', '20712', '21931'}",0.021613145155791914
"{'22356', '20724', '22355'}",0.0214767846185314
"{'22356', '20723', '20724'}",0.02093134246948933
"{'20719', '20723', '20724'}",0.020794981932228812
"{'22356', '20719', '20724'}",0.020794981932228812
"{'22386', '21928', '85099B'}",0.020590441126338038
"{'85099B', '85099C', '21931'}",0.020454080589077522
"{'22386', '21931', '22411'}",0.020454080589077522
"{'22386', '85099C', '85099B'}",0.020317720051817003
"{'22383', '20725', '20728'}",0.020249539783186745
"{'22383', '20725', '22382'}",0.020181359514556487
"{'22384', '22383', '20725'}",0.02004499897729597
"{'85099B', '21928', '22411'}",0.02004499897729597
"{'85099B', '85099C', '22411'}",0.019908638440035455
"{'85099B', '20712', '22411'}",0.019908638440035455
"{'20727', '20725', '20728'}",0.019704097634144678
"{'20719', '20723', '22355'}",0.019431376559623646
"{'22726', '22728', '22727'}",0.019363196290993385
"{'22383', '20725', '20726'}",0.019363196290993385
"{'20727', '22383', '20728'}",0.019295016022363127
"{'20727', '20725', '22382'}",0.01922683575373287
"{'22386', '21929', '85099B'}",0.018954114679211837
"{'20726', '20725', '22382'}",0.018954114679211837
"{'22384', '20725', '20728'}",0.01888593441058158
"{'20727', '22383', '22382'}",0.018817754141951318
"{'85099B', '22411', '21929'}",0.01874957387332106
"{'22356', '20719', '22355'}",0.018681393604690802
"{'85099B', '23202', '23203'}",0.018476852798800028
"{'23199', '22386', '85099B'}",0.018476852798800028
"{'22386', '20712', '21931'}",0.018476852798800028
"{'85099B', '21931', '21928'}",0.01840867253016977
"{'20712', '22411', '21931'}",0.01840867253016977
"{'20727', '22384', '20728'}",0.01827231199290925
"{'23199', '21931', '85099B'}",0.01827231199290925
"{'85099B', '21928', '21929'}",0.018204131724278993
"{'22697', '22698', '22423'}",0.018204131724278993
"{'22699', '22698', '22423'}",0.018135951455648735
"{'22386', '21931', '22411', '85099B'}",0.017726869843867184
"{'22384', '20725', '20726'}",0.017658689575236926
"{'20727', '20726', '20725'}",0.017658689575236926
"{'22386', '85099F', '85099B'}",0.017590509306606668
"{'23206', '22383', '20725'}",0.017590509306606668
"{'85099B', '21931', '21929'}",0.017590509306606668
"{'22383', '20728', '22382'}",0.017590509306606668
"{'22382', '20725', '20728'}",0.017385968500715894
"{'22356', '20723', '22355'}",0.017385968500715894
"{'22386', '22385', '85099B'}",0.017317788232085636
"{'22384', '20725', '22382'}",0.017317788232085636
"{'22384', '20727', '22383'}",0.017249607963455375
"{'85099B', '21930', '21931'}",0.0170450671575646
"{'20726', '20725', '20728'}",0.016976886888934343
"{'22386', '20712', '22411'}",0.016976886888934343
"{'23206', '20725', '20727'}",0.016976886888934343
"{'20727', '20728', '22382'}",0.016908706620304085
"{'20724', '20725', '22355'}",0.016840526351673827
"{'20719', '20723', '20724', '22355'}",0.016840526351673827
"{'22356', '20723', '20719'}",0.016840526351673827
"{'85099B', '21931', '22385'}",0.016772346083043566
"{'23199', '23203', '23200'}",0.016772346083043566
"{'23199', '23203', '85099B'}",0.016772346083043566
"{'23206', '22383', '20727'}",0.016704165814413308
"{'20727', '22383', '20726'}",0.01663598554578305
"{'22386', '21930', '85099B'}",0.01663598554578305
"{'22726', '22730', '22727'}",0.016431444739892276
"{'85099B', '85099C', '21928'}",0.016363264471262018
"{'22697', '22699', '22698', '22423'}",0.016363264471262018
"{'22356', '20719', '20724', '22355'}",0.01629508420263176
"{'22386', '20725', '85099B'}",0.01629508420263176
"{'22386', '22379', '85099B'}",0.01629508420263176
"{'85099B', '22383', '20725'}",0.0162269039340015
"{'22356', '20723', '20724', '22355'}",0.016022363128110725
"{'21931', '21928', '22411'}",0.016022363128110725
"{'23206', '20725', '23209'}",0.016022363128110725
"{'22356', '20724', '20725'}",0.016022363128110725
"{'23199', '22411', '85099B'}",0.015954182859480467
"{'22383', '22382', '20726'}",0.015954182859480467
"{'22384', '22383', '20728'}",0.015954182859480467
"{'20727', '20726', '22382'}",0.01588600259085021
"{'21931', '85099C', '22411'}",0.01581782232221995
"{'23199', '23202', '23203'}",0.01581782232221995
"{'85099B', '20725', '21931'}",0.01581782232221995
"{'22356', '20723', '20724', '20719'}",0.01568146178495943
"{'85099B', '23203', '23209'}",0.015613281516329174
"{'85099B', '20711', '21931'}",0.015613281516329174
"{'20727', '22384', '22382'}",0.015613281516329174
"{'21931', '22411', '21929'}",0.015545101247698916
"{'23206', '20725', '22382'}",0.015545101247698916
"{'22386', '20712', '21931', '85099B'}",0.015476920979068658
"{'20726', '20728', '22382'}",0.015476920979068658
"{'20727', '20726', '20728'}",0.015476920979068658
"{'22386', '21928', '22411'}",0.015476920979068658
"{'22386', '20711', '85099B'}",0.015476920979068658
"{'22386', '85099C', '22411'}",0.015476920979068658
"{'23203', '23202', '23209'}",0.0154087407104384
"{'85099B', '85099F', '21931'}",0.01534056044180814
"{'22383', '20728', '20726'}",0.01534056044180814
"{'21080', '21086', '21094'}",0.01534056044180814
"{'22356', '20727', '20724'}",0.015272380173177882
"{'22386', '85099C', '21931'}",0.015272380173177882
"{'85099B', '20712', '85099C'}",0.015204199904547624
