id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
c4ngjp24VR5xRq3uNf47Hi,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,1.74,2.4,0.06
3ZU4itFj6hXpasKKjvafJJ,WHITE METAL LANTERN,71053,3.39,1.7,2.03,0.4
gTyv8qimMQgMz97NGSSfJV,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,1.22,2.01,0.27
BESy6XcoLvrJTW2r4QatuX,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,3.33,3.32,0.02
R4tjgRXsMN8tujCBqMjY5p,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,2.36,2.41,0.29
8x7HwCqFGraGrKBuUQwmBU,SET 7 BABUSHKA NESTING BOXES,22752,7.65,0.38,5.2,0.32
9QRY7sjTyBcU2faaeSHyiT,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,0.33,3.44,0.19
VUuPXa9pGWavKXVWLRDoYi,HAND WARMER UNION JACK,22633,1.85,0.5,0.7,0.62
YswaFuSRev4S4HzyXqhcMJ,HAND WARMER RED POLKA DOT,22632,1.85,0.66,0.72,0.61
V8k9BWrak3v2h9HhBbBSsn,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,1.3,1.45,0.14
Ej2TuikJxhirkxGbsD67Zf,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,1.78,1.87,0.11
MvHi8vM6mXxsDhfqXVfvSv,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,0.79,2.04,0.03
Dp3bYM86fncMh39C9xQ8pt,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,3.38,3.64,0.03
h7CWxZ2hYrdLiYhhhhQhzZ,IVORY KNITTED MUG COSY,22310,1.65,0.29,0.45,0.73
nH4dfHoSF27Gy9h4aXDVjW,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,2.37,3.74,0.12
5GmvRrNGd75skYFNRvToAX,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,0.83,0.89,0.82
g96vQwbX7ooD5D4PPab75V,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,8.45,9.75,0.02
9xgwxFpfbtWrzrKPsfMS46,HOME BUILDING BLOCK WORD,21754,5.95,3.52,5.71,0.04
VSwqnnRYbEKw4rKQa2Cgji,LOVE BUILDING BLOCK WORD,21755,5.95,0.25,3.63,0.39
h2nnN95S8dVvjzYoMW8n7z,RECIPE BOX WITH METAL HEART,21777,7.95,0.84,6.92,0.13
U74PganrZWSpXDR4MmyLa5,DOORMAT NEW ENGLAND,48187,7.95,4.27,5.72,0.28
fsGd37Sc3eaF3ty4dKBxYr,JAM MAKING SET WITH JARS,22960,4.25,2.0,3.7,0.13
P4gDWPDB2LGftvfBjDCJZn,RED COAT RACK PARIS FASHION,22913,4.95,1.96,3.27,0.34
KCCVi9VdAZQ4BiVBqUeP9K,YELLOW COAT RACK PARIS FASHION,22912,4.95,2.77,3.37,0.32
BB89roNR4Y6BW4iTKzdKgW,BLUE COAT RACK PARIS FASHION,22914,4.95,2.26,3.37,0.32
mqYpkdLDMyL4hMvsoFSzAQ,BATH BUILDING BLOCK WORD,21756,5.95,5.57,5.77,0.03
LTRvCT8hqjmjvqPKTjy9Px,ALARM CLOCK BAKELIKE PINK,22728,3.75,0.17,0.26,0.93
YnCTF9qFeHqtQZx9px9nNg,ALARM CLOCK BAKELIKE RED,22727,3.75,2.32,2.96,0.21
CNeJuRhRw2i56ovTUAHvWK,ALARM CLOCK BAKELIKE GREEN,22726,3.75,2.48,3.0,0.2
G4jkxGBzbNaSuVUJUJPyTj,PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.62,0.82,0.03
QDUZ5HujFrtnMNeTSJSyuz,STARS GIFT TAPE,21883,0.65,0.46,0.46,0.29
dMqrX2qS9MGxPtrKxAcP5T,INFLATABLE POLITICAL GLOBE,10002,0.85,0.74,0.81,0.05
