id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
ZBBFFQSi94Tco75PNTysoN,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,0.91,1.5,0.41
aPjuNSvub2eojaQ5pE4H4y,WHITE METAL LANTERN,71053,3.39,0.19,0.92,0.73
KMeizdhSSTBfKpEpwHdMgs,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,0.39,1.87,0.32
juWKRfxsfbZsC25sy8uVpS,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,0.92,1.76,0.48
2LEp3YDNfMvz7aTGANGFzD,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,0.13,0.75,0.78
UTDGw7tA7anpED4wEFHcJw,SET 7 BABUSHKA NESTING BOXES,22752,7.65,3.61,4.9,0.36
nv2tEkZuXCVgthGWZpYKpM,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,0.26,2.34,0.45
QW7pCFVsGcBgM55z7oeTxb,HAND WARMER UNION JACK,22633,1.85,0.31,0.96,0.48
cZWaLEMM86sS6ubCKdUdRN,HAND WARMER RED POLKA DOT,22632,1.85,0.18,0.87,0.53
bx5rugdsdUnRsksToYunHg,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,0.81,1.15,0.32
FcwT7iPPH9NheDXnoEy7cG,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,0.08,1.87,0.11
YuNcDtCnkoUFaYmL6vs4Pc,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,1.5,1.76,0.16
GYb3dvgCTMfQLLEvTrSvYo,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,0.77,3.08,0.18
9Tw7k2BLLQZDtfkxzeSwaq,IVORY KNITTED MUG COSY,22310,1.65,0.41,1.07,0.35
BrsDocztbUMcXtvGnt3P7f,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,2.47,3.99,0.06
R8we7hMVWgcMHfujRRZcfP,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,0.75,2.77,0.44
AkNSq7uBFgE5K5CJSdiNZu,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,0.44,4.48,0.55
Ft6dPFqmom8XmbfApQyAGU,HOME BUILDING BLOCK WORD,21754,5.95,1.89,3.87,0.35
L5z5rrMpsqBc6pa2ADs2nN,LOVE BUILDING BLOCK WORD,21755,5.95,0.91,2.8,0.53
N6WPwwBXyZrHRx9ijuYRLx,RECIPE BOX WITH METAL HEART,21777,7.95,4.45,5.8,0.27
V2ydMxvBmqgGPhBjWnbS3V,DOORMAT NEW ENGLAND,48187,7.95,7.68,7.71,0.03
ZXfcfdxG8RoqHpLPzfvcc4,JAM MAKING SET WITH JARS,22960,4.25,1.58,2.85,0.33
HgdJJNGWABZw8Gc9h87BHX,RED COAT RACK PARIS FASHION,22913,4.95,0.63,2.48,0.5
BhARNC5UUP6F2Ui7ZZa9j2,YELLOW COAT RACK PARIS FASHION,22912,4.95,1.3,2.87,0.42
KMp6wDWCcsB9D96LUs6AXh,BLUE COAT RACK PARIS FASHION,22914,4.95,3.22,3.86,0.22
fYKxADupiDNMwWorbX2vMt,BATH BUILDING BLOCK WORD,21756,5.95,3.29,4.7,0.21
iCTg4v9P5o5p2pfBtzZswr,ALARM CLOCK BAKELIKE PINK,22728,3.75,3.04,3.08,0.18
ZjbZKb5PvhjZgXVkfHDx68,ALARM CLOCK BAKELIKE RED,22727,3.75,0.94,1.43,0.62
6MVCAHPLYV3zo2VunoXmGm,ALARM CLOCK BAKELIKE GREEN,22726,3.75,2.0,2.62,0.3
iU344CTMMvBWd77yrhdxiK,PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.52,0.65,0.24
5kUpasLSv6GZdZNQtStaWA,STARS GIFT TAPE,21883,0.65,0.62,0.62,0.04
DPKJsqukg7yrxuyhx2QPV4,INFLATABLE POLITICAL GLOBE,10002,0.85,0.8,0.82,0.03
9J9tcJH8zNY5oKvbsYRzKT,VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,0.09,0.27,0.78
E6h5zUMoohLTux7EjLKRMx,SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,0.81,2.09,0.29
eQLF2DhrgxCwmYFGBuNENy,ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,1.91,2.48,0.16
SGua23UvLbt3GK6awtddnT,SPACEBOY LUNCH BOX,22629,1.95,1.25,1.75,0.1
4B9hVAYhWQnB7vZ6DXNM55,LUNCH BOX I LOVE LONDON,22659,1.95,0.73,0.97,0.5
4sEi9NeKUndKSZvpB6dsHU,CIRCUS PARADE LUNCH BOX,22631,1.95,1.69,1.75,0.1
nK4ahckJexiKQHeGQ7vbiE,CHARLOTTE BAG DOLLY GIRL DESIGN,22661,0.85,0.61,0.71,0.16
9twzyae35oEnYAdBEuq5Az,RED TOADSTOOL LED NIGHT LIGHT,21731,1.65,0.76,0.97,0.41
eCDahsw57UxNm4U983RFuK,SET 2 TEA TOWELS I LOVE LONDON,22900,2.95,1.18,2.63,0.11
Btwk9jP7VYWGTMDckPMDE7,VINTAGE SEASIDE JIGSAW PUZZLES,21913,3.75,2.21,2.66,0.29
L2WqatLe7tPvfAffr59b3t,MINI JIGSAW CIRCUS PARADE,22540,0.42,0.26,0.38,0.09
GXsTtmUm5ZxjLUhsNywdH9,MINI JIGSAW SPACEBOY,22544,0.42,0.05,0.4,0.05
AJLP9sJrEbVz4QQJoURgXm,MINI PAINT SET VINTAGE,22492,0.65,0.24,0.25,0.62
3pUYJ9YeW9UWvS4TLq3rit,PAPER CHAIN KIT 50'S CHRISTMAS,22086,2.55,0.64,1.78,0.3
jNCKnMw2KjTF5FMb7U5ucH,EDWARDIAN PARASOL RED,20679,4.95,4.57,4.7,0.05
9gMicRyHPEXu9iXGYtjc6d,RETRO COFFEE MUGS ASSORTED,37370,1.06,0.66,0.83,0.22
o3JjX63vE2FnGdLo3Lbxsd,SAVE THE PLANET MUG,21871,1.06,0.41,0.7,0.34
6jc9MqpzJXWCrprascJdur,VINTAGE BILLBOARD DRINK ME MUG,21071,1.06,0.2,1.02,0.04
MewBEPcq7QiNh6kb5dzdN6,VINTAGE BILLBOARD LOVE/HATE MUG,21068,1.06,0.18,0.59,0.44
E2Su4WxYYQb4ySzMLEFRws,WOOD 2 DRAWER CABINET WHITE FINISH,82483,4.95,0.18,4.5,0.09
gswDfNVs8YjC4Jvi35u3Wg,WOOD S/3 CABINET ANT WHITE FINISH,82486,6.95,5.6,6.6,0.05
Q3tY3wN84FxAHHRbzqft6d,WOODEN PICTURE FRAME WHITE FINISH,82482,2.1,1.7,1.87,0.11
aKsDFSaHbSmxxcrsevmTVC,WOODEN FRAME ANTIQUE WHITE,82494L,2.55,0.32,1.33,0.48
YKieAhnhEosocAnsK72UPK,VICTORIAN SEWING BOX LARGE,21258,10.95,9.37,9.53,0.13
cY6HZrFLqo2SrB8o4utKGA,HOT WATER BOTTLE TEA AND SYMPATHY,22114,3.45,0.16,2.48,0.28
9GiRLKnFoXGxDVozzyzAqq,RED HANGING HEART T-LIGHT HOLDER,21733,2.55,1.41,2.01,0.21
Bf2eBZPgZyvTsaEmAcWX2J,JUMBO BAG PINK POLKADOT,22386,1.95,0.65,1.19,0.39
SbRjEPYUSsiE9fuf3BG6WT,JUMBO  BAG BAROQUE BLACK WHITE,85099C,1.95,1.7,1.83,0.06
bNpWuVgs8wXqZZxMp4DMEi,JUMBO BAG CHARLIE AND LOLA TOYS,21033,2.95,0.73,1.95,0.34
DPzcrbGANoPJfofKTkcRp4,STRAWBERRY CHARLOTTE BAG,20723,0.85,0.02,0.48,0.44
HZkHmraiVJiNu5CVKhEKbe,RED 3 PIECE RETROSPOT CUTLERY SET,84997B,3.75,1.3,1.54,0.59
JaaYZaZViUNK9YW3iSVNbd,BLUE 3 PIECE POLKADOT CUTLERY SET,84997C,3.75,3.73,3.71,0.01
