id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
DKt6ucQ8vvbx8U67qiFdhx,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,0.28,0.84,0.67
6RJuBauJ5R32azrSjXuCWJ,WHITE METAL LANTERN,71053,3.39,1.95,3.19,0.06
Yv8LK5gV3iKgNWY9YXw3A2,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,2.73,2.72,0.01
ndbqCoe5epvoNhXaxnG6qB,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,1.02,3.12,0.08
HuNfFichzV6kivqAqgyxDZ,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,3.26,3.32,0.02
jtiuxiahszAymnnZeSJDB4,SET 7 BABUSHKA NESTING BOXES,22752,7.65,1.88,2.68,0.65
XAKsNPoyGX5jzS35sBzi6r,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,2.56,3.99,0.06
LiSY3B93FHjrrdsEAeSQDt,HAND WARMER UNION JACK,22633,1.85,0.83,1.79,0.03
PVQCHYi7wYLyMqW8MckppB,HAND WARMER RED POLKA DOT,22632,1.85,1.27,1.81,0.02
YGRpqbxKjExExuUsobLZDk,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,0.19,0.37,0.78
BRCTqWx57LNRo7UvRgGZPJ,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,0.94,1.3,0.38
MtjF4MQ4smr4NdPYoWxhRk,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,1.22,1.3,0.38
2WEVrk6ZWXRgLvFStWjSuA,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,2.79,3.41,0.09
cUigUS3bjKGkBkn4WGNGxJ,IVORY KNITTED MUG COSY,22310,1.65,0.81,1.34,0.19
W3TQFaRRvgKZepmJ5MozVc,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,3.25,3.7,0.13
e6XsuPN9v5YPSEtmTRKhoD,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,1.94,3.86,0.22
VjxqYyRFGrBqB5PKeSPHGS,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,0.67,8.26,0.17
VRvgQSG25f59PkRcM4wBCd,HOME BUILDING BLOCK WORD,21754,5.95,2.91,4.88,0.18
8zctEeGaZpSJ8cJHpYgxiu,LOVE BUILDING BLOCK WORD,21755,5.95,0.32,0.54,0.91
98YSmmtDTMTtrDefC5eyiJ,RECIPE BOX WITH METAL HEART,21777,7.95,1.9,7.23,0.09
8TwiTMeAZKq3EW4ydRi7RU,DOORMAT NEW ENGLAND,48187,7.95,6.2,7.63,0.04
dge7TG9dqmc6eYdgWUWLQN,JAM MAKING SET WITH JARS,22960,4.25,1.29,2.0,0.53
cv8AU25Qkg6gNQXMbgU5cT,RED COAT RACK PARIS FASHION,22913,4.95,1.64,2.08,0.58
WTyYci5eh7qQ4Qi3jqp6iB,YELLOW COAT RACK PARIS FASHION,22912,4.95,3.32,4.65,0.06
5m8GKzTo5PsozsovHaDUXX,BLUE COAT RACK PARIS FASHION,22914,4.95,3.87,4.01,0.19
6GA5UjunFnx47exvyL4oFa,BATH BUILDING BLOCK WORD,21756,5.95,0.42,5.24,0.12
8mdgvGi84m2xEqjPqXSLAX,ALARM CLOCK BAKELIKE PINK,22728,3.75,3.49,3.64,0.03
mNdMiCRr5zVCVNxnAAa5MZ,ALARM CLOCK BAKELIKE RED,22727,3.75,0.17,0.68,0.82
gMHyyTNNCZiXWLmQtBteNb,ALARM CLOCK BAKELIKE GREEN,22726,3.75,1.26,1.95,0.48
RpTdrgQHmNKqEf77abDFyG,PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.46,0.49,0.42
kbtw4bR6BBvMvcHq7BymJP,STARS GIFT TAPE,21883,0.65,0.25,0.44,0.33
2VLF45fZR5vrYz5eRpgE8h,INFLATABLE POLITICAL GLOBE,10002,0.85,0.12,0.21,0.75
YU8GjffknWbtkoi97rPCzP,VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,0.85,1.2,0.04
gwrdWagGEi6d77iruV2N59,SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,2.42,2.89,0.02
VvX6iaTV5MNs7bTpSZsWys,ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,0.13,1.48,0.5
HMyi8sAMJjrut7RQ98zaTr,SPACEBOY LUNCH BOX,22629,1.95,0.61,1.56,0.2
FhABgDYreHtb6LJD8HnXVL,LUNCH BOX I LOVE LONDON,22659,1.95,0.76,1.27,0.35
icevARjX9J3mJviL4uoBVm,CIRCUS PARADE LUNCH BOX,22631,1.95,1.12,1.31,0.33
AJV3GkFCndUvxRi872UYje,CHARLOTTE BAG DOLLY GIRL DESIGN,22661,0.85,0.8,0.82,0.03
27g6JVCsaTznPsKuc7nPnq,RED TOADSTOOL LED NIGHT LIGHT,21731,1.65,0.1,0.25,0.85
cL4Pts6QBuk42ZXyjKX8iz,SET 2 TEA TOWELS I LOVE LONDON,22900,2.95,0.73,1.03,0.65
joUn7TADx4w2e4VZ47iDxw,VINTAGE SEASIDE JIGSAW PUZZLES,21913,3.75,0.33,2.51,0.33
SYSiTqgiSeVGuwiejP9BBj,MINI JIGSAW CIRCUS PARADE,22540,0.42,0.18,0.23,0.46
iuEuXjbEQfPd9i3ke2SLJC,MINI JIGSAW SPACEBOY,22544,0.42,0.09,0.36,0.14
W23suENFBUsF3N7wHj5o8H,MINI PAINT SET VINTAGE,22492,0.65,0.24,0.25,0.61
g3ng4MQazzS73i539NYYeG,PAPER CHAIN KIT 50'S CHRISTMAS,22086,2.55,2.47,2.47,0.03
ZYtQC7yPzK5WrphtToXXUA,EDWARDIAN PARASOL RED,20679,4.95,4.52,4.55,0.08
XqtNddAE74oERGtmfdNPR9,RETRO COFFEE MUGS ASSORTED,37370,1.06,0.65,0.7,0.34
GB3R2ZiCkryhu9Ay3KjeFJ,SAVE THE PLANET MUG,21871,1.06,0.15,0.47,0.56
dKC9Va8sAckScWQ7EVRQ3A,VINTAGE BILLBOARD DRINK ME MUG,21071,1.06,0.86,0.98,0.08
