InvoiceDate,Quantity,Month
2025-01-01,21052,January
2025-01-02,22459,January
2025-01-03,23327,January
2025-01-04,23468,January
2025-01-05,25192,January
2025-01-06,22108,January
2025-01-07,22190,January
2025-01-08,20961,January
2025-01-09,24384,January
2025-01-10,25343,January
2025-01-11,25522,January
2025-01-12,27234,January
2025-01-13,24087,January
2025-01-14,24058,January
2025-01-15,22673,January
2025-01-16,25902,January
2025-01-17,26632,January
2025-01-18,26556,January
2025-01-19,27992,January
2025-01-20,24556,January
2025-01-21,24234,January
2025-01-22,22559,January
2025-01-23,25508,January
2025-01-24,25977,January
2025-01-25,25663,January
2025-01-26,26892,January
2025-01-27,23285,January
2025-01-28,22831,January
2025-01-29,21065,January
2025-01-30,23968,January
2025-01-31,24434,January
