id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
6JyjxoraXjwatg9pqkiNus,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,2.27,2.4,0.06
dQawG2e4WvTtCAb8QCUAES,WHITE METAL LANTERN,71053,3.39,2.42,3.25,0.04
3TgnXua9JgwwiQZt8JBV6R,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,1.77,2.17,0.21
7gKpPRHvJyhtSEeHpYvhT3,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,2.65,2.85,0.16
eY2p37LGwYVkyvfbMJMHFF,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,2.4,3.02,0.11
d2Sq5nR77Bq6CQW4BzKvmM,SET 7 BABUSHKA NESTING BOXES,22752,7.65,1.59,1.68,0.78
keb52tTuCA4HBwoMW5Ypbq,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,3.93,4.17,0.02
keXFVtA5PL7V2pA5rtES7u,HAND WARMER UNION JACK,22633,1.85,1.26,1.31,0.29
gLAZyHzVAtLPJQ7XczXkKy,HAND WARMER RED POLKA DOT,22632,1.85,1.25,1.28,0.31
koFqtgjfMdQyorXuTJ6P7E,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,1.66,1.66,0.02
kVirZ8RPdK6Rpny4zi7xkr,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,0.44,0.59,0.72
buxVQMxJpa9Tn9agUrWDNk,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,0.36,1.32,0.37
L6VvmzHmGNRrTYg2L9zXVR,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,1.5,3.15,0.16
V7FTk86DUThQ668CqsmkM8,IVORY KNITTED MUG COSY,22310,1.65,1.02,1.07,0.35
jsMg9LLQtnThkMRz822SA9,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,2.76,4.12,0.03
5exBrBLdtVmea3Mc8dzYvd,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,0.88,4.11,0.17
Geh8wk6wxsMBHmrnhMFSWN,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,3.5,4.88,0.51
2wQDnLDY6GV6tMtcKfR6fh,HOME BUILDING BLOCK WORD,21754,5.95,0.43,1.31,0.78
EeDTmXNDHpSLytGZigYbgN,LOVE BUILDING BLOCK WORD,21755,5.95,5.78,5.83,0.02
P9N8erLHHPAiDduRN7f49E,RECIPE BOX WITH METAL HEART,21777,7.95,4.13,6.04,0.24
iQYVBruAoPLSWksjCBxhcv,DOORMAT NEW ENGLAND,48187,7.95,4.08,7.55,0.05
kCjHt8eR7Lnd3nXixUfzDe,JAM MAKING SET WITH JARS,22960,4.25,3.81,3.91,0.08
RktH6RYD9V9S3F4HjS2mV6,RED COAT RACK PARIS FASHION,22913,4.95,4.2,4.7,0.05
N6ytRTxGiFP3ATgR5BpgAR,YELLOW COAT RACK PARIS FASHION,22912,4.95,3.18,3.61,0.27
