id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
84b08c33-b2e9-409e-9ddc-19d1351bcfa9,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,0.66,1.63,0.36
3aeedc46-3fd7-4b12-81d0-971fd607aa1f,WHITE METAL LANTERN,71053,3.39,0.46,2.24,0.34
588c6b27-71af-41af-900d-5d44cacd65a9,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,2.07,2.28,0.17
19f06ee5-c6c6-4f44-9a06-68527bdf41b5,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,2.97,2.98,0.12
d6b5e8ae-9336-4e5f-8d16-4a2aeb4f26cf,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,0.94,3.05,0.1
122b724c-66f3-4f74-978c-960585435d6b,SET 7 BABUSHKA NESTING BOXES,22752,7.65,6.59,7.5,0.02
b3ccdfa2-1787-4bee-9117-d8bc46807a60,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,3.78,3.91,0.08
b7b3735a-8639-4b78-90b6-29663478b405,HAND WARMER UNION JACK,22633,1.85,0.3,0.74,0.6
836ec2b5-8b69-4df8-8755-f7298a4d3544,HAND WARMER RED POLKA DOT,22632,1.85,0.24,1.79,0.03
0179add5-d95f-4ba4-ae82-52edef8a01d7,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,1.63,1.64,0.03
d3e60da7-4e1f-4db7-a194-7a2500a68d85,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,1.88,1.93,0.08
7b437238-ae8d-4ac0-a6b1-f63db1dc79e1,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,0.22,1.22,0.42
b4b9722c-96e6-45d4-8a09-3042e05d5138,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,1.96,2.7,0.28
5e64a9ad-e5c1-4dbe-b269-6f3473c85598,IVORY KNITTED MUG COSY,22310,1.65,1.48,1.55,0.06
3e33409e-eece-4653-bca9-a8cca4794627,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,2.02,3.27,0.23
4815c93d-05a1-44ee-be06-1bb9d191f505,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,1.33,2.43,0.51
a62240b5-fe23-4a7d-a9c7-db44ed6547b3,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,7.31,8.16,0.18
64e28d43-d928-4f43-82f4-4d52de90b9b4,HOME BUILDING BLOCK WORD,21754,5.95,5.44,5.47,0.08
d10567ca-5f4f-4379-8131-b71581d5befd,LOVE BUILDING BLOCK WORD,21755,5.95,3.66,5.24,0.12
f1a9714b-00eb-4e53-ae34-8fccd565d7f2,RECIPE BOX WITH METAL HEART,21777,7.95,6.0,6.68,0.16
a9f1b76a-67dd-4d92-a25b-2e4237cb1600,DOORMAT NEW ENGLAND,48187,7.95,1.44,3.82,0.52
654ca659-35f2-439a-8b34-c541e3d2691d,JAM MAKING SET WITH JARS,22960,4.25,1.46,3.4,0.2
12bae858-efe0-4886-9948-1b887ce46c4f,RED COAT RACK PARIS FASHION,22913,4.95,1.33,1.93,0.61
d7545f13-e34f-4bc4-979c-825641c9e693,YELLOW COAT RACK PARIS FASHION,22912,4.95,2.11,3.07,0.38
e0c75386-32e6-415a-944f-738c78343357,BLUE COAT RACK PARIS FASHION,22914,4.95,1.38,3.86,0.22
248a33e4-d191-4cd6-a772-2ab75283ce4d,BATH BUILDING BLOCK WORD,21756,5.95,4.03,4.28,0.28
6b7daa71-8e33-4c52-acdb-cf9a7c8172f4,ALARM CLOCK BAKELIKE PINK,22728,3.75,0.97,2.47,0.34
cb4e417d-944e-4ab5-a499-b8b21582f082,ALARM CLOCK BAKELIKE RED,22727,3.75,1.04,1.2,0.68
5de36313-694a-4c8d-952c-9a30a74c1e85,ALARM CLOCK BAKELIKE GREEN,22726,3.75,2.54,3.6,0.04
9ccb5e82-7d6f-4826-bdb4-1c289b6bcb22,PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.68,0.7,0.18
6550646e-8b43-42fb-8df1-325588b4a991,STARS GIFT TAPE,21883,0.65,0.05,0.47,0.28
f45a7ee9-4af6-406f-be18-d8b6ce7c9b2a,INFLATABLE POLITICAL GLOBE,10002,0.85,0.36,0.38,0.55
37ec1562-56ab-4481-97c7-0e8c2d6233e8,VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,1.06,1.14,0.09
0b1a38a7-6694-4791-bfd1-bc5f78bdf5cc,SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,1.68,2.36,0.2
809aed39-b7ad-4056-9912-3c75fd8fff4d,ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,0.96,2.63,0.11
bb5a117e-4e97-44e8-9720-0b8be446f63a,SPACEBOY LUNCH BOX,22629,1.95,1.02,1.54,0.21
2be331ec-cd1e-49ed-86b6-8e2b194e148e,LUNCH BOX I LOVE LONDON,22659,1.95,0.83,1.46,0.25
c800b6ed-990c-4ab6-a3cc-cfa1ca7bffcb,CIRCUS PARADE LUNCH BOX,22631,1.95,1.33,1.4,0.28
77b038a0-f039-459e-8b1d-a4a37d5171ce,CHARLOTTE BAG DOLLY GIRL DESIGN,22661,0.85,0.46,0.6,0.29
43a213c5-dc7e-46f7-9bc6-8987561ef22d,RED TOADSTOOL LED NIGHT LIGHT,21731,1.65,0.44,1.5,0.09
20faf667-a30a-4e82-bbf5-58b7e76d32b9,SET 2 TEA TOWELS I LOVE LONDON,22900,2.95,2.28,2.33,0.21
eb6a1141-bbd0-480e-8be7-5a27b8f24bef,VINTAGE SEASIDE JIGSAW PUZZLES,21913,3.75,2.3,3.64,0.03
04eea195-d8d0-4b45-8f74-24abd0b716bf,MINI JIGSAW CIRCUS PARADE,22540,0.42,0.04,0.22,0.47
bd707712-d856-417a-934a-2d51ae03d1ca,MINI JIGSAW SPACEBOY,22544,0.42,0.34,0.37,0.13
b0091e20-57ff-46c7-95f8-5cb3b1f818a2,MINI PAINT SET VINTAGE,22492,0.65,0.04,0.28,0.57
1760846a-5898-4448-ba50-ce54824b5bd0,PAPER CHAIN KIT 50'S CHRISTMAS,22086,2.55,1.04,2.01,0.21
07403f3f-a4ec-43fb-ba90-629bf6c9b7ad,EDWARDIAN PARASOL RED,20679,4.95,4.28,4.7,0.05
8b103944-dc81-4492-b548-52fb5800a155,RETRO COFFEE MUGS ASSORTED,37370,1.06,0.12,0.53,0.5
d3906140-5720-4173-9850-5d5a214f5b23,SAVE THE PLANET MUG,21871,1.06,0.63,0.83,0.22
4aadd542-c256-471b-8ab7-aac980abb84b,VINTAGE BILLBOARD DRINK ME MUG,21071,1.06,0.51,0.8,0.25
b756445b-bf19-4dc8-b9a2-8d0a7a536242,VINTAGE BILLBOARD LOVE/HATE MUG,21068,1.06,0.68,0.82,0.23
f75c01d9-aff1-44e5-8b61-8c759a12e1a0,WOOD 2 DRAWER CABINET WHITE FINISH,82483,4.95,2.85,3.12,0.37
99a35dff-e535-4522-9e72-22b14713fd9c,WOOD S/3 CABINET ANT WHITE FINISH,82486,6.95,5.85,6.53,0.06
e034791c-e66e-439a-9ea9-04641c3622e5,WOODEN PICTURE FRAME WHITE FINISH,82482,2.1,0.32,1.51,0.28
cbc71984-ea86-424e-9983-224003faed2f,WOODEN FRAME ANTIQUE WHITE,82494L,2.55,1.21,1.76,0.31
5a23d330-254c-4f40-a9fe-962d9735842b,VICTORIAN SEWING BOX LARGE,21258,10.95,8.25,10.4,0.05
eb687643-a156-4874-a463-716a925b89c2,HOT WATER BOTTLE TEA AND SYMPATHY,22114,3.45,3.05,3.11,0.1
6c9b4a5c-3cf2-4fff-a393-733a3b0255a0,RED HANGING HEART T-LIGHT HOLDER,21733,2.55,1.45,2.45,0.04
0ff43866-155a-46a3-b091-3b4b80056cd7,JUMBO BAG PINK POLKADOT,22386,1.95,0.43,1.62,0.17
3bc658ff-60d6-40be-8325-6e3bf916b428,JUMBO  BAG BAROQUE BLACK WHITE,85099C,1.95,0.96,1.11,0.43
f740800f-25d6-40b8-b14b-58b7f6a23fe7,JUMBO BAG CHARLIE AND LOLA TOYS,21033,2.95,2.16,2.68,0.09
c75c366a-cce8-468d-8873-94e6cfe4af47,STRAWBERRY CHARLOTTE BAG,20723,0.85,0.07,0.15,0.82
e2e2a57b-c622-4ee4-b805-59145f41d3f6,RED 3 PIECE RETROSPOT CUTLERY SET,84997B,3.75,0.88,0.98,0.74
30a65a45-a42b-41ad-b88c-303eec07bb03,BLUE 3 PIECE POLKADOT CUTLERY SET,84997C,3.75,0.7,1.58,0.58
14d617a0-3eb5-4401-afb9-b2a64aba1cc9,SET/6 RED SPOTTY PAPER PLATES,21094,0.85,0.78,0.8,0.06
70bb171c-0eac-42e4-ae55-86782e634c11,LUNCH BAG RED RETROSPOT,20725,1.65,1.42,1.6,0.03
6614dc75-6209-4a68-aea5-98590b193272,STRAWBERRY LUNCH BOX WITH CUTLERY,21559,2.55,2.39,2.47,0.03
