id,Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
XCRKdpg2nxgcQGVVzUC6ET,WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,11.01,-3.01,2.18
ErjbA9qtoZwCfnoGMXEkfA,WHITE METAL LANTERN,71053,3.39,13.9,-10.64,4.14
BdFCKCBaCbzBWxgGanZGNR,CREAM CUPID HEARTS COAT HANGER,84406B,2.75,4.22,-3.6,2.31
97BD2jDDBzPGT7L7zHxYLY,KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,7.98,-12.41,4.66
GZiqvqgRJTgSm3H3RHYMUm,RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,3.61,-1.25,1.37
d4pchwLF9ZHrUEK7b993UM,SET 7 BABUSHKA NESTING BOXES,22752,7.65,19.28,9.56,-0.25
bzAUNGLpuC2wXXBijhtc4d,GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,11.89,-10.16,3.39
H2KKbDDJfDaJo5fkxRb3E6,HAND WARMER UNION JACK,22633,1.85,8.25,-0.65,1.35
k4owXLDrKjVi6USdw9TuBn,HAND WARMER RED POLKA DOT,22632,1.85,2.86,-6.97,4.77
9LbPcMErgoo5ppeBWmBpF5,ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,7.21,-5.14,4.04
JLX8x4xdBWv2zSpDe39tsN,POPPY'S PLAYHOUSE BEDROOM,22745,2.1,7.83,6.38,-2.04
9T9eB6ATmGCpyR4VeSgEgc,POPPY'S PLAYHOUSE KITCHEN,22748,2.1,2.5,-8.34,4.97
jop57PcSjruK2Y4AQzn4zd,FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,4.96,-12.9,4.44
CcHH6TqnRCERf2qcRLvaRG,IVORY KNITTED MUG COSY,22310,1.65,7.25,-5.91,4.58
gtSiB29wcJSazb3ZG6CTsY,BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,20.42,-19.64,5.62
U6iDj3a3DsYX2gtgFEbqjG,BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,11.72,7.67,-0.55
B3Qeu9C3BQSMt4KdvpsXSy,BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,29.27,27.36,-1.75
TTfe4sF22e3xydMQ67wuLp,HOME BUILDING BLOCK WORD,21754,5.95,6.35,-27.25,5.58
UgoUzGtntQRpXvequB8ABM,LOVE BUILDING BLOCK WORD,21755,5.95,23.31,-28.98,5.87
K4YSUYEdHzqEVvXSfL2C2p,RECIPE BOX WITH METAL HEART,21777,7.95,16.25,-0.48,1.06
6dhKaZheapuZsWVLVGwdYg,DOORMAT NEW ENGLAND,48187,7.95,33.62,-31.16,4.92
NKJqfNwjhdTnhGbXwYxtXo,JAM MAKING SET WITH JARS,22960,4.25,19.14,-6.46,2.52
8EHPboBzPYvHhnvw3ptyXd,RED COAT RACK PARIS FASHION,22913,4.95,21.49,2.28,0.54
2Hbxwikzqu6Tn964SeikH9,YELLOW COAT RACK PARIS FASHION,22912,4.95,14.66,-21.43,5.33
DKtu4dTvPFQsobs3xbYyzD,BLUE COAT RACK PARIS FASHION,22914,4.95,24.61,16.78,-2.39
fkmkbymFUFZ66o6JBNtRUr,BATH BUILDING BLOCK WORD,21756,5.95,25.33,-24.87,5.18
npzSqJ4o7GgEeQZ29MZNUo,ALARM CLOCK BAKELIKE PINK,22728,3.75,18.02,2.66,0.29
as6XyQQnezpgGJ7G5WH7Ej,ALARM CLOCK BAKELIKE RED,22727,3.75,9.47,-18.38,5.9
c5MMLWWvaEbDEjqzaUWkHt,ALARM CLOCK BAKELIKE GREEN,22726,3.75,17.77,-15.0,5.0
ivWXfjnmdFs5sfh7bqQx3m,PANDA AND BUNNIES STICKER SHEET,21724,0.85,1.61,-0.71,1.84
UvRqjWB9ovF5aFp7hBmemR,STARS GIFT TAPE,21883,0.65,2.6,-1.36,3.09
Cyo8Aktg8ZUaampZi2Z6VA,INFLATABLE POLITICAL GLOBE,10002,0.85,2.47,1.63,-0.92
e6StxN7ayZrgtxKrzr9ukz,VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,3.55,-4.89,4.91
RjJhSrVGBpuZwLTfmd9BkP,SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,8.85,-6.11,3.07
JtSGsLWG8RLQxbefax5av7,ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,8.73,4.19,-0.42
4HyACbBYGVfoqgMjrvV3aC,SPACEBOY LUNCH BOX,22629,1.95,8.0,-8.21,5.21
7GNeBK8mPtChN6Zq6VEF6q,LUNCH BOX I LOVE LONDON,22659,1.95,8.55,5.56,-1.85
9hA8TjEGRAQreTRAhkdbZP,CIRCUS PARADE LUNCH BOX,22631,1.95,2.63,-8.46,5.34
6Q535SimtrThNwuk89LoV8,CHARLOTTE BAG DOLLY GIRL DESIGN,22661,0.85,1.83,-0.69,1.81
ineGkEnstxuoi28sNqm9am,RED TOADSTOOL LED NIGHT LIGHT,21731,1.65,6.23,2.21,-0.34
GQXGtSkZZerSxqcT8HSHVD,SET 2 TEA TOWELS I LOVE LONDON,22900,2.95,8.38,-10.56,4.58
3WVH2LSEHUkYUcr7JGUtGB,VINTAGE SEASIDE JIGSAW PUZZLES,21913,3.75,17.22,13.58,-2.62
UAyYHxFwEj73khXcMXtjRZ,MINI JIGSAW CIRCUS PARADE,22540,0.42,0.98,0.4,0.05
AHYVuNUABVknQm8JLorwVs,MINI JIGSAW SPACEBOY,22544,0.42,0.43,-0.26,1.63
3kPhomLndAi5jEimrZ2WLP,MINI PAINT SET VINTAGE,22492,0.65,2.39,-2.56,4.94
SfpVexZHeSc4aVDzv7vkQ3,PAPER CHAIN KIT 50'S CHRISTMAS,22086,2.55,10.04,-10.86,5.26
SHcB5FBrTj9raSsa8Qacuc,EDWARDIAN PARASOL RED,20679,4.95,14.02,-3.91,1.79
YRDdCsaShw7K8VffS2LZq9,RETRO COFFEE MUGS ASSORTED,37370,1.06,5.25,1.18,-0.11
k6PoDiDREdYHJbmYtDniZG,SAVE THE PLANET MUG,21871,1.06,2.89,-1.14,2.08
kfmgQRYjAPJLbtPsc8epH4,VINTAGE BILLBOARD DRINK ME MUG,21071,1.06,2.72,-0.42,1.4
eTFmTuR8eAUtQPhxBR7saM,VINTAGE BILLBOARD LOVE/HATE MUG,21068,1.06,2.16,-0.96,1.91
bP43CzMUh4hRXLviku6KCi,WOOD 2 DRAWER CABINET WHITE FINISH,82483,4.95,19.32,3.91,0.21
aTHLsxgNk9KYCa7LsooGbQ,WOOD S/3 CABINET ANT WHITE FINISH,82486,6.95,21.66,5.63,0.19
BjBDjB3HX6PPXYcbUMpbCq,WOODEN PICTURE FRAME WHITE FINISH,82482,2.1,4.71,-5.35,3.55
VdBymSKJ64GZA5XaA56FVf,WOODEN FRAME ANTIQUE WHITE,82494L,2.55,4.31,3.95,-0.55
cW6LRhKUsdxGCLMYVZrN8V,VICTORIAN SEWING BOX LARGE,21258,10.95,52.2,49.6,-3.53
GFoTfvkGNuKLtZazKUGLC7,HOT WATER BOTTLE TEA AND SYMPATHY,22114,3.45,9.24,1.66,0.52
UUgUjwuq5pPQsfoSntwUKV,RED HANGING HEART T-LIGHT HOLDER,21733,2.55,4.3,-3.6,2.41
kEZGTmp3GGNPQ8vuoLqLMM,JUMBO BAG PINK POLKADOT,22386,1.95,8.79,4.39,-1.25
f7RaEmbdeZTRaebhthDqRN,JUMBO  BAG BAROQUE BLACK WHITE,85099C,1.95,3.63,-3.69,2.89
kDfs8zxYkDeq8kHz7oH86j,JUMBO BAG CHARLIE AND LOLA TOYS,21033,2.95,8.71,-1.86,1.63
EQYcfaz73ruRDKKN5MXXrX,STRAWBERRY CHARLOTTE BAG,20723,0.85,4.24,-3.02,4.55
2XoBegy7zfZYzDLVaYA9JP,RED 3 PIECE RETROSPOT CUTLERY SET,84997B,3.75,5.18,-7.8,3.08
KGzjeXpcRyvH64GqDsFZs6,BLUE 3 PIECE POLKADOT CUTLERY SET,84997C,3.75,16.15,2.06,0.45
9gKSWHy5wXnY8U59cUoRRD,SET/6 RED SPOTTY PAPER PLATES,21094,0.85,1.91,-3.24,4.81
FDqaYnfgd7ye4Bbwn6dvPT,LUNCH BAG RED RETROSPOT,20725,1.65,6.24,-3.3,3.0
HYpUL3DtnQGwfzvpnKHgZ6,STRAWBERRY LUNCH BOX WITH CUTLERY,21559,2.55,10.79,-8.72,4.42
BvQZYBttw7rG9DJQNw5JeX,LUNCH BOX WITH CUTLERY RETROSPOT,22352,2.55,10.11,5.53,-1.17
PdyqvUXNq5UYWME6H93GCc,PACK OF 72 RETROSPOT CAKE CASES,21212,0.42,2.02,-1.12,3.66
4kescW8qTm7KLuTTf6SqAw,PACK OF 60 DINOSAUR CAKE CASES,21975,0.55,0.98,-1.91,4.47
MAonseQZxWZAzrmWdTnvuR,PACK OF 60 PINK PAISLEY CAKE CASES,21977,0.55,0.73,-0.42,1.76
K8aE3URuK5gDfD7Ty4izmM,60 TEATIME FAIRY CAKE CASES,84991,0.55,1.98,1.89,-2.43
kr6tCvpUKWmN95JEzfi3Ao,TOMATO CHARLIE+LOLA COASTER SET,84519A,2.95,6.51,0.5,0.83
GJgZfLXyavCikwvPbsYCML,CHARLIE & LOLA WASTEPAPER BIN FLORA,85183B,1.25,3.67,-2.34,2.87
4jZjwXxjtfvDFz2X6dvedH,RED CHARLIE+LOLA PERSONAL DOORSIGN,85071B,0.38,0.59,0.08,0.79
5hVxziUTkxwuHz4j6MmMxd,JUMBO STORAGE BAG SUKI,21931,1.95,4.58,-5.3,3.72
YHHyPAmdkRe4qGsXDnymQh,JUMBO BAG PINK VINTAGE PAISLEY,21929,1.95,7.66,-6.59,4.38
GbBjPt9WxGy7jp8pKHRqWP,JAM MAKING SET PRINTED,22961,1.45,5.95,-2.61,2.8
hx6KT939Y8Z7hKvyVTGs9m,RETROSPOT TEA SET CERAMIC 11 PC,22139,4.25,14.21,-7.14,2.68
HykdFinjqGV8JWgwmDC8TH,GIRLY PINK TOOL SET,84854,4.95,13.97,-11.09,3.24
DskhTXqshZPgZFcAxx2rVq,JUMBO SHOPPER VINTAGE RED PAISLEY,22411,1.95,8.37,0.78,0.6
oYzAixYWrNxA3vkzM2Pyu3,"AIRLINE LOUNGE,METAL SIGN",82567,2.1,6.52,6.41,-2.05
fo8tE8bRSdpmmNJSXhwvrs,WHITE SPOT RED CERAMIC DRAWER KNOB,21672,1.25,3.23,2.36,-0.89
WtvLcAuiWdewjGHaGVaQHt,RED DRAWER KNOB ACRYLIC EDWARDIAN,22774,1.25,5.54,-2.64,3.11
WzCniaWhp55gxdrsShsfwc,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,22771,1.25,3.42,-1.86,2.49
VQz7PXYqupXTgG4P5hGQKH,PHOTO CLIP LINE,71270,1.25,3.95,-0.84,1.67
TZEGnoENZhSLm9CuygC7EL,FELT EGG COSY CHICKEN,22262,0.85,3.55,-3.54,5.16
DUb4bWnv6wmhtTyKVXoNPh,PIGGY BANK RETROSPOT,22637,2.55,11.95,10.3,-3.04
QPdgwZCWXTZxsRoYRCEPP3,SKULL SHOULDER BAG,21934,1.65,4.06,1.17,0.29
krK2SqnC48svGNgsNqcY5d,YOU'RE CONFUSING ME METAL SIGN,21169,1.69,8.32,-4.51,3.67
Vnv3CqrdiafTHGVLw2WyEf,COOK WITH WINE METAL SIGN,21166,1.95,7.71,-1.81,1.93
AWZWN4eWLeTmMgsDnM9sGf,GIN + TONIC DIET METAL SIGN,21175,2.1,9.45,-5.94,3.83
5wB458LRfE5iemxkfriKLA,YELLOW BREAKFAST CUP AND SAUCER,37444A,2.95,7.66,-10.03,4.4
g4pA7NuV7UtypTxCRavbPy,PINK BREAKFAST CUP AND SAUCER,37444C,2.95,4.69,-10.97,4.72
ktKzFUhv33Z3w2FWddvgwz,PAPER CHAIN KIT RETROSPOT,22083,2.95,4.12,-7.79,3.64
aHrVEhAdo7Y5htsnPNiEPe,SMALL HEART FLOWERS HOOK,84971S,0.85,3.99,2.19,-1.58
b3UVuAK86ikyLsjAVSVXt7,TEA TIME DES TEA COSY,47580,2.55,11.82,2.07,0.19
RLf4AAMBFsnHCvdrzugM6H,FELT EGG COSY WHITE RABBIT,22261,0.85,1.78,1.36,-0.6
YpKstM67KFZNggZ3ANv55f,ZINC WILLIE WINKIE  CANDLE STICK,84832,0.85,1.56,-4.07,5.79
Ypn4yxuq9pUpjS9gMZ8hrY,CERAMIC CHERRY CAKE MONEY BANK,22644,1.45,4.55,-3.51,3.42
9gTYTDvMAcKRkFdPSL3rre,RETROSPOT LARGE MILK JUG,21533,4.95,10.45,-22.47,5.54
Myux93K7EgQTCHxXBEZhY3,SET OF 6 FUNKY BEAKERS,21557,2.95,13.11,8.47,-1.87
NJW4tqgEEoGFKqxLmXMHTT,EDWARDIAN PARASOL BLACK,15056BL,5.95,6.8,-25.82,5.34
oUkTirsfdPHdXgraCTUu6T,EDWARDIAN PARASOL NATURAL,15056N,5.95,14.76,-21.6,4.63
Y7vqRNZ8vyucdzRt53sr4X,CERAMIC STRAWBERRY CAKE MONEY BANK,22646,1.45,4.13,-6.8,5.69
KyoKe4ePUZ86ic9pb2WW3E,BLUE OWL SOFT TOY,22176,2.95,13.92,5.84,-0.98
itR2jatRdntZmpd7SfXRka,BALLOON ART MAKE YOUR OWN FLOWERS,22438,1.95,6.17,1.23,0.37
Aq3dQPxM4jkmTDt8GkffVk,GLASS CLOCHE SMALL,22778,3.95,12.18,-4.7,2.19
c82oZorbCnQvKvzKpbcQb2,GUMBALL MONOCHROME COAT RACK,22719,1.06,4.34,1.88,-0.77
YMrSS6cz6wRZGhYyiShdq8,DOORMAT FANCY FONT HOME SWEET HOME,21523,6.75,32.69,0.47,0.93
RvgfedSMCQ5zYgbFG8wjVK,VINTAGE SNAKES & LADDERS,21912,3.75,14.69,3.26,0.13
nRa4JjfsQ7U9qeXL7n4PnE,CHOCOLATE CALCULATOR,21832,1.65,7.71,-6.52,4.95
PYHkeBh3SmC6eQm7ABAPbZ,RECYCLING BAG RETROSPOT,22379,2.1,2.71,-6.28,3.99
BVsLYH6oiLG6a2gtvgxHMV,TOY TIDY PINK POLKADOT,22381,1.85,8.45,0.28,0.85
Dck3ywuHJFPkpJCNgFrBod,ANTIQUE GLASS DRESSING TABLE POT,22798,2.95,9.17,2.63,0.11
dqTFFC9uTDgrayyYswiebQ,IVORY GIANT GARDEN THERMOMETER,22926,5.95,8.53,-25.76,5.33
KWDiav53SdTyfZVgsn3zwp,3 TIER CAKE TIN GREEN AND CREAM,22839,14.95,26.4,-69.67,5.66
TZ7de3Uwv2v5CksGyAQLYY,3 TIER CAKE TIN RED AND CREAM,22838,14.95,31.15,-47.99,4.21
AXZEW62kttbUtVn9CgPS89,SET 3 WICKER OVAL BASKETS W LIDS,22783,16.95,79.56,74.58,-3.4
87rvG5nWJHXZVefAq728LH,WOOD BLACK BOARD ANT WHITE FINISH,82484,6.45,30.78,-25.41,4.94
ExaccqcVJ5AgNSSD3ST9dX,COLOUR GLASS T-LIGHT HOLDER HANGING,84755,0.65,2.31,-0.69,2.06
H4tzxyaQPDKohV5ck5KLtL,HANGING METAL HEART LANTERN,22464,1.65,6.65,-7.08,5.29
4bEe82a5AZvSDsb8ySnMvJ,HANGING MEDINA LANTERN SMALL,21324,2.95,7.76,-7.97,3.7
4mMhN8nwpsydAAfysmcvxZ,NATURAL SLATE HEART CHALKBOARD,22457,2.95,13.9,-8.29,3.81
jjXeewtP7hau3Yyw5SguGx,HEART OF WICKER SMALL,22469,1.45,6.46,1.68,-0.16
VJeZE9kfi8meuGm3StuYxx,HEART OF WICKER LARGE,22470,2.55,10.71,5.94,-1.33
hQwp3yj8EoyEHqv3SFgqVy,WHITE LOVEBIRD LANTERN,22224,2.95,3.75,-9.38,4.18
4sMF2yog2AqGsMQtZDdZK4,CLASSIC METAL BIRDCAGE PLANT HOLDER,21340,12.75,45.81,-56.48,5.43
HGtb7QsvY6fuaCmE2Axibw,CREAM HEART CARD HOLDER,22189,3.95,16.06,-8.89,3.25
EEccnuEQMjNnBP9vF7NTeB,ENAMEL FLOWER JUG CREAM,22427,5.95,21.88,14.34,-1.41
j4Ppa4sJq3zkfEzpB2j6Vo,ENAMEL FIRE BUCKET CREAM,22428,6.95,13.28,7.16,-0.03
fADw6pM9aA5245s5v29fmE,ENAMEL BREAD BIN CREAM,22424,10.95,30.51,11.39,-0.04
HEJzjrnzA2AAsHxrRE3yxL,JUMBO BAG DOLLY GIRL DESIGN,22663,1.95,7.34,-8.09,5.15
FEAGVWukS8cqoYxXphkf5c,TRADITIONAL CHRISTMAS RIBBONS,85049A,1.25,1.52,-1.16,1.93
AtmRz8DG4vxNg3FdbGYotN,ORGANISER WOOD ANTIQUE WHITE,22168,8.5,23.75,19.55,-1.3
VEKoDoy45uKKfrjM2neTXX,LUNCH BAG DOLLY GIRL DESIGN,22662,1.65,7.78,-0.66,1.4
jhHjUiipnZvPgddEzhbmUh,WHITE WIRE EGG HOLDER,84880,4.95,12.43,2.72,0.45
Gw7a2ygLbqkynUMXT9rA97,JUMBO BAG RED RETROSPOT,85099B,1.65,6.07,-5.41,4.28
3xVc9KhfFNtU4yXJaGyJzM,CHILLI LIGHTS,79321,3.82,12.68,-12.72,4.33
RtuzDEuAQutEVoPgpjh9Yg,LIGHT GARLAND BUTTERFILES PINK,22780,3.37,10.24,-11.46,4.4
QMxsm7eNCe3SjMHvydn7Tp,WOODEN OWLS LIGHT GARLAND,22779,3.37,4.38,0.37,0.89
VG78jLFzGFMvgcYUEX3WLW,FAIRY TALE COTTAGE NIGHTLIGHT,22466,1.45,4.52,-2.2,2.52
8ZjFT9HM9UACJcUQseKQ9Z,HOME SMALL WOOD LETTERS,21363,4.95,22.52,20.64,-3.17
2SGTebeXB2cJd4mNKnWBpp,GINGHAM HEART  DOORSTOP RED,21411,4.25,11.53,3.06,0.28
PQEajH8HEnNBUvZSzFDAnZ,FIVE HEART HANGING DECORATION,22318,2.95,12.71,-9.47,4.21
RbbLPCV9aFodFS7yYhXxgE,ASSORTED BOTTLE TOP  MAGNETS,22915,0.42,2.04,-0.47,2.13
5qRrbPvS7P78EuXStkhM2L,FRIDGE MAGNETS US DINER ASSORTED,22922,0.85,3.31,-1.19,2.4
HcR4piaZ6b2xfwVGo4qcsP,HOMEMADE JAM SCENTED CANDLES,22969,1.45,4.37,-6.06,5.18
D7jYnzvu5chfCWBNH3JAkd,FRIDGE MAGNETS LES ENFANTS ASSORTED,22923,0.85,3.31,-2.45,3.88
REZnj2BKimp5CaCxiobQLY,ROSE CARAVAN DOORSTOP,21115,6.75,11.3,0.0,1.0
mk9S53JutSd4pM5HnQuGLd,5 HOOK HANGER MAGIC TOADSTOOL,22242,1.65,2.1,-2.82,2.71
gqFFocxkbi9UDMzZqwRLZF,CHRISTMAS LIGHTS 10 REINDEER,22941,8.5,27.55,26.69,-2.14
hjiWHesvdjTQaxk8njYB2r,VINTAGE UNION JACK CUSHION COVER,21622,4.95,12.06,11.98,-1.42
NLzCnXHCxc4wn5k7SdGdHh,SET OF 3 COLOURED  FLYING DUCKS,35004C,5.45,27.16,3.32,0.39
hVoBEVewJjGYd7Y8un9Jci,SET OF 3 GOLD FLYING DUCKS,35004G,6.35,23.8,3.3,0.48
YR6WBX5wJyQYC5vyxrT79K,RED RETROSPOT UMBRELLA,85014B,5.95,6.6,4.52,0.24
6sD7bYs2uxjUrx5UKh6uxd,BLACK/BLUE POLKADOT UMBRELLA,85014A,5.95,14.85,2.74,0.54
2C2vBLgtBHGbdArnQ84sU5,RED DINER WALL CLOCK,22193,8.5,31.54,-0.26,1.03
X3RPfStZR2ypuBPSGB7hpw,BLUE DINER WALL CLOCK,22192,8.5,12.51,-38.25,5.5
