,date,Quantity
0,2009-12-01,26434
1,2009-12-02,31938
2,2009-12-03,50898
3,2009-12-04,21405
4,2009-12-05,5119
5,2009-12-06,11623
6,2009-12-07,18557
7,2009-12-08,26172
8,2009-12-09,18403
9,2009-12-10,23718
10,2009-12-11,21394
11,2009-12-13,12611
12,2009-12-14,45435
13,2009-12-15,27210
14,2009-12-16,25006
15,2009-12-17,15665
16,2009-12-18,17457
17,2009-12-20,6263
18,2009-12-21,8838
19,2009-12-22,27101
20,2009-12-23,4614
21,2010-01-04,11008
22,2010-01-05,11421
23,2010-01-06,7496
24,2010-01-07,40753
25,2010-01-08,12713
26,2010-01-10,13429
27,2010-01-11,14900
28,2010-01-12,21533
29,2010-01-13,8899
30,2010-01-14,13895
31,2010-01-15,8686
32,2010-01-17,10041
33,2010-01-18,10423
34,2010-01-19,15334
35,2010-01-20,10736
36,2010-01-21,72919
37,2010-01-22,18622
38,2010-01-24,8903
39,2010-01-25,10059
40,2010-01-26,23672
41,2010-01-27,17955
42,2010-01-28,11641
43,2010-01-29,10270
44,2010-01-31,10779
45,2010-02-01,9343
46,2010-02-02,11155
47,2010-02-03,10388
48,2010-02-04,12877
49,2010-02-05,10488
50,2010-02-07,11210
51,2010-02-08,8631
52,2010-02-09,10929
53,2010-02-10,3783
54,2010-02-11,9197
55,2010-02-12,8150
56,2010-02-14,10943
57,2010-02-15,96989
58,2010-02-16,16929
59,2010-02-17,25072
60,2010-02-18,24084
61,2010-02-19,12622
62,2010-02-21,5602
63,2010-02-22,13665
64,2010-02-23,12448
65,2010-02-24,22978
66,2010-02-25,26343
67,2010-02-26,10426
68,2010-02-28,8511
69,2010-03-01,22033
70,2010-03-02,12005
71,2010-03-03,20419
72,2010-03-04,18803
73,2010-03-05,18434
74,2010-03-07,11031
75,2010-03-08,15828
76,2010-03-09,12854
77,2010-03-10,18164
78,2010-03-11,14882
79,2010-03-12,11539
80,2010-03-14,4954
81,2010-03-15,15351
82,2010-03-16,12942
83,2010-03-17,78927
84,2010-03-18,23692
85,2010-03-19,13426
86,2010-03-21,12471
87,2010-03-22,12919
88,2010-03-23,54482
89,2010-03-24,15372
90,2010-03-25,17353
91,2010-03-26,21000
92,2010-03-28,14594
93,2010-03-29,25221
94,2010-03-30,19298
95,2010-03-31,13695
96,2010-04-01,17629
97,2010-04-06,13071
98,2010-04-07,23559
99,2010-04-08,26828
100,2010-04-09,9151
101,2010-04-11,11708
102,2010-04-12,12892
103,2010-04-13,25951
104,2010-04-14,16536
105,2010-04-15,10784
106,2010-04-16,14902
107,2010-04-18,13032
108,2010-04-19,22105
109,2010-04-20,13543
110,2010-04-21,13698
111,2010-04-22,21600
112,2010-04-23,10286
113,2010-04-25,8463
114,2010-04-26,19643
115,2010-04-27,23629
116,2010-04-28,19491
117,2010-04-29,17376
118,2010-04-30,21364
119,2010-05-02,6307
120,2010-05-04,11588
121,2010-05-05,15756
122,2010-05-06,31769
123,2010-05-07,27062
124,2010-05-09,11971
125,2010-05-10,28536
126,2010-05-11,18751
127,2010-05-12,22257
128,2010-05-13,27377
129,2010-05-14,15075
130,2010-05-16,11066
131,2010-05-17,16187
132,2010-05-18,24918
133,2010-05-19,9859
134,2010-05-20,16026
135,2010-05-21,10393
136,2010-05-23,14040
137,2010-05-24,34691
138,2010-05-25,15472
139,2010-05-26,18942
140,2010-05-27,18055
141,2010-05-28,12979
142,2010-05-30,6271
143,2010-06-01,8350
144,2010-06-02,12055
145,2010-06-03,17634
146,2010-06-04,8938
147,2010-06-06,14188
148,2010-06-07,29719
149,2010-06-08,26442
150,2010-06-09,25492
151,2010-06-10,9739
152,2010-06-11,21593
153,2010-06-13,11180
154,2010-06-14,16250
155,2010-06-15,20535
156,2010-06-16,19025
157,2010-06-17,13554
158,2010-06-18,9613
159,2010-06-20,4496
160,2010-06-21,12218
161,2010-06-22,7005
162,2010-06-23,16258
163,2010-06-24,13968
164,2010-06-25,8440
165,2010-06-27,10918
166,2010-06-28,34790
167,2010-06-29,22063
168,2010-06-30,21078
169,2010-07-01,16537
170,2010-07-02,8753
171,2010-07-04,5345
172,2010-07-05,16793
173,2010-07-06,11965
174,2010-07-07,14791
175,2010-07-08,12226
176,2010-07-09,14261
177,2010-07-11,5848
178,2010-07-12,9821
179,2010-07-13,10078
180,2010-07-14,14400
181,2010-07-15,27942
182,2010-07-16,32559
183,2010-07-18,9690
184,2010-07-19,18553
185,2010-07-20,12136
186,2010-07-21,13199
187,2010-07-22,14184
188,2010-07-23,13393
189,2010-07-25,11648
190,2010-07-26,15081
191,2010-07-27,14327
192,2010-07-28,13391
193,2010-07-29,14245
194,2010-07-30,8450
195,2010-08-01,9740
196,2010-08-02,12245
197,2010-08-03,16346
198,2010-08-04,11761
199,2010-08-05,62492
200,2010-08-06,9933
201,2010-08-08,8189
202,2010-08-09,100356
203,2010-08-10,20077
204,2010-08-11,8226
205,2010-08-12,19305
206,2010-08-13,18263
207,2010-08-15,17413
208,2010-08-16,13058
209,2010-08-17,18408
210,2010-08-18,23001
211,2010-08-19,22579
212,2010-08-20,19181
213,2010-08-22,13916
214,2010-08-23,13330
215,2010-08-24,19102
216,2010-08-25,17615
217,2010-08-26,17688
218,2010-08-27,7395
219,2010-08-29,8790
220,2010-08-31,14394
221,2010-09-01,12927
222,2010-09-02,21990
223,2010-09-03,31306
224,2010-09-05,7276
225,2010-09-06,16246
226,2010-09-07,15749
227,2010-09-08,10261
228,2010-09-09,13528
229,2010-09-10,10544
230,2010-09-12,9409
231,2010-09-13,28481
232,2010-09-14,11416
233,2010-09-15,26599
234,2010-09-16,14569
235,2010-09-17,11901
236,2010-09-19,13798
237,2010-09-20,25111
238,2010-09-21,37532
239,2010-09-22,14815
240,2010-09-23,22593
241,2010-09-24,28056
242,2010-09-26,13499
243,2010-09-27,126182
244,2010-09-28,23713
245,2010-09-29,21578
246,2010-09-30,25029
247,2010-10-01,22743
248,2010-10-03,20451
249,2010-10-04,23579
250,2010-10-05,35133
251,2010-10-06,21956
252,2010-10-07,30140
253,2010-10-08,41495
254,2010-10-10,12436
255,2010-10-11,25172
256,2010-10-12,29562
257,2010-10-13,40374
258,2010-10-14,37326
259,2010-10-15,22602
260,2010-10-17,19100
261,2010-10-18,20153
262,2010-10-19,27275
263,2010-10-20,24232
264,2010-10-21,17965
265,2010-10-22,23414
266,2010-10-24,15607
267,2010-10-25,14785
268,2010-10-26,26045
269,2010-10-27,16260
270,2010-10-28,14371
271,2010-10-29,25638
272,2010-10-31,16564
273,2010-11-01,14511
274,2010-11-02,24850
275,2010-11-03,24755
276,2010-11-04,60591
277,2010-11-05,23038
278,2010-11-07,18700
279,2010-11-08,33132
280,2010-11-09,36027
281,2010-11-10,35310
282,2010-11-11,34950
283,2010-11-12,23251
284,2010-11-14,17601
285,2010-11-15,38200
286,2010-11-16,39622
287,2010-11-17,28689
288,2010-11-18,21452
289,2010-11-19,25457
290,2010-11-21,18205
291,2010-11-22,19866
292,2010-11-23,27119
293,2010-11-24,28908
294,2010-11-25,38204
295,2010-11-26,17914
296,2010-11-28,16568
297,2010-11-29,40165
298,2010-11-30,26620
299,2010-12-01,54014
300,2010-12-02,62696
301,2010-12-03,32942
302,2010-12-05,32902
303,2010-12-06,43902
304,2010-12-07,50730
305,2010-12-08,46250
306,2010-12-09,41460
307,2010-12-10,21155
308,2010-12-12,10603
309,2010-12-13,17727
310,2010-12-14,20767
311,2010-12-15,18493
312,2010-12-16,29947
313,2010-12-17,16959
314,2010-12-19,3799
315,2010-12-20,15793
316,2010-12-21,15658
317,2010-12-22,3213
318,2010-12-23,5754
319,2011-01-04,8678
320,2011-01-05,19806
321,2011-01-06,23178
322,2011-01-07,17160
323,2011-01-09,8202
324,2011-01-10,13091
325,2011-01-11,29458
326,2011-01-12,10623
327,2011-01-13,10175
328,2011-01-14,23149
329,2011-01-16,4204
330,2011-01-17,13397
331,2011-01-18,82978
332,2011-01-19,17387
