itemset,support
"{'85099B', '22386'}",0.05157847932414406
"{'85099B', '21931'}",0.04683563065065955
"{'85099B', '22411'}",0.04394545724025493
"{'22697', '22699'}",0.04164813991403587
"{'20725', '20727'}",0.03912850155624722
"{'20725', '22383'}",0.03868385949310805
"{'22726', '22727'}",0.03860975248258485
"{'85099B', '85099C'}",0.03646064917741218
"{'20727', '22383'}",0.036238328145842595
"{'20725', '22384'}",0.036238328145842595
"{'85099B', '23203'}",0.03601600711427301
"{'85099B', '20725'}",0.035423151030087446
"{'22411', '21931'}",0.03505261597747147
"{'85099B', '20712'}",0.0344597598932859
"{'85099B', '21928'}",0.0344597598932859
"{'22386', '21931'}",0.03438565288276271
"{'85099B', '23199'}",0.03408922484066993
"{'23300', '23301'}",0.033941010819623536
"{'22356', '20724'}",0.033941010819623536
"{'22697', '22698'}",0.03386690380910034
"{'22086', '22910'}",0.03349636875648437
"{'20725', '22382'}",0.033274047724914775
"{'20727', '22384'}",0.03305172669334519
"{'22355', '20724'}",0.03275529865125241
"{'22630', '22629'}",0.032458870609159626
"{'20727', '20728'}",0.03238476359863643
"{'22698', '22699'}",0.03231065658811324
"{'23203', '23202'}",0.03223654957759004
"{'85099B', '21929'}",0.03223654957759004
"{'20727', '22382'}",0.03223654957759004
"{'85099B', '85099F'}",0.03201422854602046
"{'20725', '20728'}",0.03194012153549726
"{'20719', '20724'}",0.031717800503927675
"{'20725', '20726'}",0.03142137246183489
"{'22411', '22386'}",0.03142137246183489
"{'22383', '22382'}",0.0312731584407885
"{'20723', '20724'}",0.03075440936712613
"{'20728', '22383'}",0.03060619534607974
"{'20712', '21931'}",0.030532088335556543
"{'20719', '22355'}",0.029865125240847785
"{'23209', '23203'}",0.029568697198755003
"{'82494L', '82482'}",0.029049948125092633
"{'23206', '20725'}",0.02897584111456944
"{'22697', '22698', '22699'}",0.028901734104046242
"{'85099B', '22379'}",0.028531199051430266
"{'85123A', '21733'}",0.02845709204090707
"{'20712', '22386'}",0.028382985030383875
"{'20728', '22384'}",0.028382985030383875
"{'20726', '22382'}",0.028308878019860678
"{'20728', '22382'}",0.028234771009337484
"{'22385', '85099B'}",0.028234771009337484
"{'23209', '20725'}",0.028012449977767896
"{'22411', '85099C'}",0.028012449977767896
"{'85099C', '21931'}",0.028012449977767896
"{'20727', '20726'}",0.027716021935675114
"{'85099B', '22197'}",0.027716021935675114
"{'22383', '22384'}",0.027716021935675114
"{'85099B', '22386', '21931'}",0.02764191492515192
"{'22383', '20726'}",0.02764191492515192
"{'22355', '22356'}",0.027419593893582332
"{'47566', '23298'}",0.02727137987253594
"{'85099B', '23202'}",0.02727137987253594
"{'20723', '22355'}",0.027197272862012747
"{'22469', '22470'}",0.02712316585148955
"{'85099B', '20724'}",0.027049058840966356
"{'85099B', '21930'}",0.02697495183044316
"{'21929', '22411'}",0.026900844819919965
"{'20712', '22411'}",0.026826737809396768
"{'22699', '22423'}",0.026604416777827183
"{'20719', '22356'}",0.026604416777827183
