Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
WHITE HANGING HEART T-LIGHT HOLDER,85123A,2.55,1.03,1.35,0.47
WHITE METAL LANTERN,71053,3.39,1.07,1.53,0.55
CREAM CUPID HEARTS COAT HANGER,84406B,2.75,2.15,2.31,0.16
KNITTED UNION FLAG HOT WATER BOTTLE,84029G,3.39,2.51,2.58,0.24
RED WOOLLY HOTTIE WHITE HEART.,84029E,3.39,1.17,2.27,0.33
SET 7 BABUSHKA NESTING BOXES,22752,7.65,0.44,7.27,0.05
GLASS STAR FROSTED T-LIGHT HOLDER,21730,4.25,2.33,2.42,0.43
HAND WARMER UNION JACK,22633,1.85,1.65,1.72,0.07
HAND WARMER RED POLKA DOT,22632,1.85,1.1,1.63,0.12
ASSORTED COLOUR BIRD ORNAMENT,84879,1.69,0.81,1.23,0.27
POPPY'S PLAYHOUSE BEDROOM,22745,2.1,1.09,1.41,0.33
POPPY'S PLAYHOUSE KITCHEN,22748,2.1,0.71,1.87,0.11
FELTCRAFT PRINCESS CHARLOTTE DOLL,22749,3.75,2.97,3.6,0.04
IVORY KNITTED MUG COSY,22310,1.65,0.53,0.74,0.55
BOX OF 6 ASSORTED COLOUR TEASPOONS,84969,4.25,3.42,3.57,0.16
BOX OF VINTAGE JIGSAW BLOCKS,22623,4.95,0.67,2.67,0.46
BOX OF VINTAGE ALPHABET BLOCKS,22622,9.95,2.51,9.05,0.09
HOME BUILDING BLOCK WORD,21754,5.95,3.56,5.06,0.15
LOVE BUILDING BLOCK WORD,21755,5.95,4.38,4.88,0.18
RECIPE BOX WITH METAL HEART,21777,7.95,1.27,6.36,0.2
DOORMAT NEW ENGLAND,48187,7.95,4.65,5.88,0.26
JAM MAKING SET WITH JARS,22960,4.25,2.77,3.49,0.18
RED COAT RACK PARIS FASHION,22913,4.95,2.79,4.55,0.08
YELLOW COAT RACK PARIS FASHION,22912,4.95,0.64,3.07,0.38
BLUE COAT RACK PARIS FASHION,22914,4.95,2.45,3.86,0.22
BATH BUILDING BLOCK WORD,21756,5.95,5.95,5.95,0.0
ALARM CLOCK BAKELIKE PINK,22728,3.75,3.21,3.38,0.1
ALARM CLOCK BAKELIKE RED,22727,3.75,2.54,3.3,0.12
ALARM CLOCK BAKELIKE GREEN,22726,3.75,3.31,3.67,0.02
PANDA AND BUNNIES STICKER SHEET,21724,0.85,0.27,0.51,0.4
