StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
85123A,2.55,1.85,2.47,0.03
71053,3.39,0.19,0.27,0.92
84406B,2.75,2.33,2.48,0.1
84029G,3.39,2.76,2.88,0.15
84029E,3.39,0.15,1.15,0.66
22752,7.65,1.98,2.83,0.63
21730,4.25,2.99,3.1,0.27
22633,1.85,1.62,1.79,0.03
22632,1.85,1.4,1.78,0.04
84879,1.69,1.14,1.62,0.04
22745,2.1,1.78,1.93,0.08
22748,2.1,1.88,1.97,0.06
22749,3.75,3.53,3.64,0.03
22310,1.65,0.86,1.42,0.14
84969,4.25,4.2,4.17,0.02
22623,4.95,4.61,4.65,0.06
22622,9.95,1.63,2.29,0.77
21754,5.95,5.23,5.71,0.04
21755,5.95,3.1,4.64,0.22
21777,7.95,1.5,6.76,0.15
48187,7.95,1.96,4.93,0.38
22960,4.25,2.78,2.89,0.32
22913,4.95,1.45,1.83,0.63
22912,4.95,2.1,3.76,0.24
22914,4.95,3.31,4.11,0.17
21756,5.95,3.94,4.82,0.19
22728,3.75,1.43,3.0,0.2
22727,3.75,2.82,2.85,0.24
22726,3.75,1.89,2.36,0.37
21724,0.85,0.22,0.46,0.46
21883,0.65,0.46,0.59,0.09
10002,0.85,0.31,0.34,0.6
21791,1.25,1.03,1.17,0.06
21035,2.95,2.29,2.39,0.19
22326,2.95,2.27,2.6,0.12
22629,1.95,0.84,1.42,0.27
22659,1.95,0.9,1.25,0.36
22631,1.95,1.39,1.89,0.03
22661,0.85,0.83,0.83,0.02
21731,1.65,1.65,1.63,0.01
22900,2.95,2.12,2.3,0.22
21913,3.75,3.61,3.64,0.03
22540,0.42,0.02,0.13,0.69
22544,0.42,0.1,0.39,0.07
22492,0.65,0.34,0.38,0.41
22086,2.55,2.16,2.42,0.05
20679,4.95,1.3,4.8,0.03
37370,1.06,0.76,0.87,0.18
21871,1.06,0.91,0.98,0.08
21071,1.06,0.8,0.94,0.11
21068,1.06,0.55,1.02,0.04
82483,4.95,1.82,3.56,0.28
82486,6.95,4.41,5.91,0.15
82482,2.1,1.9,1.99,0.05
82494L,2.55,1.96,2.47,0.03
21258,10.95,1.85,4.82,0.56
22114,3.45,3.27,3.35,0.03
21733,2.55,1.09,1.4,0.45
22386,1.95,1.44,1.75,0.1
85099C,1.95,1.82,1.91,0.02
21033,2.95,0.91,1.48,0.5
20723,0.85,0.25,0.51,0.4
84997B,3.75,2.01,2.55,0.32
84997C,3.75,2.13,2.62,0.3
21094,0.85,0.06,0.47,0.45
20725,1.65,0.69,1.27,0.23
21559,2.55,2.1,2.45,0.04
22352,2.55,1.6,2.47,0.03
21212,0.42,0.28,0.37,0.13
21975,0.55,0.41,0.47,0.14
21977,0.55,0.18,0.32,0.42
84991,0.55,0.06,0.13,0.76
84519A,2.95,2.19,2.63,0.11
85183B,1.25,0.55,0.82,0.34
85071B,0.38,0.05,0.26,0.31
21931,1.95,1.58,1.74,0.11
21929,1.95,1.93,1.91,0.02
22961,1.45,0.81,1.09,0.25
22139,4.25,3.86,3.99,0.06
84854,4.95,4.86,4.85,0.02
22411,1.95,0.12,0.92,0.53
82567,2.1,1.26,1.76,0.16
21672,1.25,0.68,0.98,0.22
22774,1.25,1.07,1.07,0.14
22771,1.25,0.51,0.84,0.33
71270,1.25,0.18,0.69,0.45
22262,0.85,0.82,0.83,0.02
22637,2.55,1.23,2.45,0.04
21934,1.65,0.11,0.4,0.76
21169,1.69,0.55,1.59,0.06
21166,1.95,1.92,1.91,0.02
21175,2.1,0.64,1.32,0.37
37444A,2.95,0.36,0.62,0.79
37444C,2.95,1.66,2.6,0.12
22083,2.95,2.54,2.66,0.1
84971S,0.85,0.28,0.76,0.11
47580,2.55,1.48,1.73,0.32
22261,0.85,0.76,0.8,0.06
84832,0.85,0.56,0.64,0.25
22644,1.45,1.25,1.25,0.14
21533,4.95,0.22,1.09,0.78
21557,2.95,0.15,1.24,0.58
15056BL,5.95,5.71,5.71,0.04
15056N,5.95,3.97,4.82,0.19
22646,1.45,1.17,1.17,0.19
22176,2.95,0.28,2.39,0.19
22438,1.95,1.02,1.01,0.48
22778,3.95,0.84,1.22,0.69
22719,1.06,0.12,0.9,0.15
21523,6.75,4.95,6.62,0.02
21912,3.75,1.16,2.47,0.34
21832,1.65,0.88,1.44,0.13
22379,2.1,0.74,1.01,0.52
22381,1.85,0.32,1.17,0.37
22798,2.95,2.21,2.8,0.05
22926,5.95,0.48,5.06,0.15
22839,14.95,7.85,10.17,0.32
22838,14.95,5.05,14.2,0.05
22783,16.95,3.89,7.46,0.56
82484,6.45,2.92,6.0,0.07
84755,0.65,0.33,0.57,0.12
22464,1.65,1.54,1.57,0.05
21324,2.95,0.84,0.94,0.68
22457,2.95,2.79,2.83,0.04
22469,1.45,0.53,0.97,0.33
22470,2.55,0.56,0.94,0.63
22224,2.95,1.19,2.21,0.25
21340,12.75,4.62,11.6,0.09
22189,3.95,0.38,0.87,0.78
22427,5.95,2.05,3.99,0.33
22428,6.95,1.52,5.14,0.26
22424,10.95,10.27,10.51,0.04
22663,1.95,0.2,1.07,0.45
85049A,1.25,0.04,0.16,0.87
22168,8.5,7.78,8.07,0.05
22662,1.65,0.23,0.28,0.83
84880,4.95,4.09,4.5,0.09
85099B,1.65,0.84,1.09,0.34
79321,3.82,3.53,3.55,0.07
22780,3.37,0.42,0.67,0.8
22779,3.37,3.21,3.24,0.04
22466,1.45,0.34,1.13,0.22
21363,4.95,1.97,2.08,0.58
21411,4.25,1.88,3.87,0.09
22318,2.95,1.44,2.06,0.3
22915,0.42,0.05,0.37,0.12
22922,0.85,0.03,0.49,0.42
22969,1.45,0.34,1.32,0.09
22923,0.85,0.75,0.75,0.12
21115,6.75,4.98,6.08,0.1
22242,1.65,0.05,0.45,0.73
22941,8.5,3.96,7.39,0.13
21622,4.95,0.92,3.66,0.26
35004C,5.45,3.21,4.41,0.19
35004G,6.35,5.29,5.52,0.13
85014B,5.95,3.59,4.76,0.2
85014A,5.95,4.8,5.77,0.03
22193,8.5,7.49,8.07,0.05
22192,8.5,6.1,6.63,0.22
22191,8.5,3.02,7.48,0.12
22195,1.65,0.68,1.48,0.1
22196,0.85,0.37,0.6,0.29
22962,0.72,0.06,0.59,0.18
22963,0.72,0.46,0.51,0.29
22968,8.5,0.78,4.17,0.51
84970S,0.64,0.03,0.13,0.8
22910,2.55,2.08,2.24,0.12
20668,0.1,0.06,0.07,0.26
22197,0.72,0.48,0.6,0.16
22198,1.45,0.99,1.04,0.28
21080,0.64,0.54,0.56,0.12
21086,0.65,0.37,0.49,0.24
21786,0.32,0.22,0.3,0.05
22654,4.95,4.48,4.8,0.03
21485,4.25,1.97,2.68,0.37
84030E,3.75,0.58,0.64,0.83
22174,1.48,1.33,1.39,0.06
22150,1.95,1.26,1.87,0.04
22619,3.75,2.42,3.26,0.13
21891,1.25,0.98,1.06,0.15
21889,1.25,1.21,1.21,0.03
22827,165.0,102.34,156.75,0.05
22127,1.25,0.09,0.44,0.65
22128,1.25,0.59,0.93,0.26
22502,5.95,3.47,5.59,0.06
22338,0.65,0.04,0.62,0.05
22180,9.95,4.43,7.56,0.24
21506,0.42,0.27,0.41,0.03
22866,1.85,1.33,1.37,0.26
22865,1.85,0.44,1.17,0.37
22349,3.75,0.74,1.91,0.49
22558,1.25,0.81,1.2,0.04
85152,2.1,0.11,0.19,0.91
22652,1.65,1.37,1.48,0.1
22188,3.95,1.88,2.41,0.39
21484,3.45,0.43,2.0,0.42
21314,2.1,0.53,1.91,0.09
22730,3.75,3.52,3.56,0.05
22729,3.75,3.41,3.45,0.08
22867,2.1,0.38,0.61,0.71
22803,35.75,10.56,21.45,0.4
35004B,4.65,1.22,2.37,0.49
21980,0.29,0.27,0.27,0.06
21844,2.95,0.23,2.6,0.12
22468,6.75,5.06,5.67,0.16
48185,7.95,1.32,6.44,0.19
21232,1.25,0.88,1.05,0.16
22064,1.65,0.41,1.32,0.2
22449,3.35,2.67,2.68,0.2
22835,4.65,0.59,4.37,0.06
22112,4.95,0.66,1.63,0.67
21479,3.75,3.25,3.6,0.04
22111,4.95,3.82,4.8,0.03
22110,2.55,2.31,2.45,0.04
22098,1.25,0.23,0.51,0.59
22100,1.25,0.33,0.89,0.29
22766,2.95,2.3,2.86,0.03
22451,3.35,1.15,3.22,0.04
22549,1.45,1.34,1.42,0.02
84744,1.25,0.76,0.86,0.31
85049E,1.25,0.6,0.94,0.25
21328,1.65,1.04,1.42,0.14
17091A,1.25,0.33,0.94,0.25
22473,4.95,3.27,4.5,0.09
84509A,3.75,2.11,3.38,0.1
84510A,1.25,0.65,1.14,0.09
22767,9.95,2.5,7.56,0.24
22768,9.95,9.19,9.35,0.06
21463,5.95,2.64,4.05,0.32
21464,4.25,2.36,3.78,0.11
20820,4.95,2.7,3.37,0.32
85150,2.55,2.23,2.24,0.12
22117,2.95,1.71,2.01,0.32
48129,7.95,5.44,5.41,0.32
82580,0.55,0.2,0.4,0.28
82578,0.55,0.29,0.52,0.05
82581,0.55,0.09,0.46,0.16
22413,2.95,0.26,0.32,0.89
21907,2.1,1.35,1.53,0.27
22441,2.1,2.09,2.08,0.01
21122,1.25,0.58,0.74,0.41
22851,0.85,0.35,0.4,0.53
22810,2.95,0.6,1.92,0.35
22809,2.95,0.78,0.94,0.68
22435,1.25,1.17,1.21,0.03
20966,1.25,1.01,1.04,0.17
20963,1.25,0.27,1.14,0.09
20961,1.25,0.65,0.74,0.41
22068,1.65,1.03,1.25,0.24
21743,2.95,2.35,2.42,0.18
21744,2.95,0.36,0.44,0.85
84709B,5.95,5.1,5.18,0.13
21592,1.25,0.25,0.4,0.68
21587,2.55,1.65,1.78,0.3
20992,0.85,0.43,0.53,0.38
22804,2.95,0.21,0.47,0.84
20749,7.95,7.8,7.79,0.02
22382,1.65,0.88,1.34,0.19
20726,1.65,1.37,1.58,0.04
22384,1.65,0.87,1.01,0.39
22467,2.55,1.43,1.53,0.4
