CustomerID,InvoiceNo,StockCode,Segment,Subsegment
13047,536367,84879,Nurture,Sleeping Giants
13047,536367,22745,Nurture,Sleeping Giants
13047,536367,22748,Nurture,Sleeping Giants
13047,536367,22749,Nurture,Sleeping Giants
13047,536367,22310,Nurture,Sleeping Giants
13047,536367,84969,Nurture,Sleeping Giants
13047,536367,22623,Nurture,Sleeping Giants
13047,536367,22622,Nurture,Sleeping Giants
13047,536367,21754,Nurture,Sleeping Giants
13047,536367,21755,Nurture,Sleeping Giants
13047,536367,21777,Nurture,Sleeping Giants
13047,536367,48187,Nurture,Sleeping Giants
13047,536368,22960,Nurture,Sleeping Giants
13047,536368,22913,Nurture,Sleeping Giants
13047,536368,22912,Nurture,Sleeping Giants
13047,536368,22914,Nurture,Sleeping Giants
13047,536369,21756,Nurture,Sleeping Giants
15291,536376,22114,Nurture,Value Seekers
15291,536376,21733,Nurture,Value Seekers
16098,536382,10002,Nurture,Value Seekers
16098,536382,21912,Nurture,Value Seekers
16098,536382,21832,Nurture,Value Seekers
16098,536382,22411,Nurture,Value Seekers
16098,536382,22379,Nurture,Value Seekers
16098,536382,22381,Nurture,Value Seekers
16098,536382,22798,Nurture,Value Seekers
16098,536382,22726,Nurture,Value Seekers
16098,536382,22926,Nurture,Value Seekers
16098,536382,22839,Nurture,Value Seekers
16098,536382,22838,Nurture,Value Seekers
16098,536382,22783,Nurture,Value Seekers
17420,536385,22783,Nurture,Occasional Spenders
17420,536385,22961,Nurture,Occasional Spenders
17420,536385,22960,Nurture,Occasional Spenders
17420,536385,22663,Nurture,Occasional Spenders
17420,536385,85049A,Nurture,Occasional Spenders
17420,536385,22168,Nurture,Occasional Spenders
17420,536385,22662,Nurture,Occasional Spenders
16029,536386,84880,Nurture,Value Seekers
16029,536386,85099C,Nurture,Value Seekers
16029,536386,85099B,Nurture,Value Seekers
16029,536387,79321,Nurture,Value Seekers
16029,536387,22780,Nurture,Value Seekers
16029,536387,22779,Nurture,Value Seekers
16029,536387,22466,Nurture,Value Seekers
16029,536387,21731,Nurture,Value Seekers
12431,536389,22941,Nurture,Value Seekers
12431,536389,21622,Nurture,Value Seekers
12431,536389,21791,Nurture,Value Seekers
12431,536389,35004C,Nurture,Value Seekers
12431,536389,35004G,Nurture,Value Seekers
12431,536389,85014B,Nurture,Value Seekers
12431,536389,85014A,Nurture,Value Seekers
12431,536389,22193,Nurture,Value Seekers
12431,536389,22726,Nurture,Value Seekers
12431,536389,22727,Nurture,Value Seekers
12431,536389,22192,Nurture,Value Seekers
12431,536389,22191,Nurture,Value Seekers
12431,536389,22195,Nurture,Value Seekers
12431,536389,22196,Nurture,Value Seekers
15513,536402,22086,Nurture,Value Seekers
15513,536402,22910,Nurture,Value Seekers
15513,536402,22837,Nurture,Value Seekers
16218,536404,22297,Nurture,Value Seekers
16218,536404,22771,Nurture,Value Seekers
16218,536404,22772,Nurture,Value Seekers
16218,536404,22773,Nurture,Value Seekers
16218,536404,22805,Nurture,Value Seekers
16218,536404,22469,Nurture,Value Seekers
16218,536404,22197,Nurture,Value Seekers
16218,536404,21125,Nurture,Value Seekers
16218,536404,21126,Nurture,Value Seekers
16218,536404,85049C,Nurture,Value Seekers
16218,536404,85049D,Nurture,Value Seekers
16218,536404,85049E,Nurture,Value Seekers
16218,536404,85049G,Nurture,Value Seekers
16218,536404,21061,Nurture,Value Seekers
16218,536404,21063,Nurture,Value Seekers
16218,536404,21062,Nurture,Value Seekers
16218,536404,84380,Nurture,Value Seekers
16218,536404,84378,Nurture,Value Seekers
16218,536404,22964,Nurture,Value Seekers
16218,536404,21213,Nurture,Value Seekers
16218,536404,22417,Nurture,Value Seekers
16218,536404,21212,Nurture,Value Seekers
16218,536404,84992,Nurture,Value Seekers
16218,536404,21975,Nurture,Value Seekers
16218,536404,22383,Nurture,Value Seekers
16218,536404,20728,Nurture,Value Seekers
16218,536404,20727,Nurture,Value Seekers
16218,536404,22296,Nurture,Value Seekers
14307,536408,22537,Nurture,Sleeping Giants
14307,536408,22533,Nurture,Sleeping Giants
14307,536408,20982,Nurture,Sleeping Giants
14307,536408,21832,Nurture,Sleeping Giants
14307,536408,21915,Nurture,Sleeping Giants
14307,536408,21914,Nurture,Sleeping Giants
14307,536408,21544,Nurture,Sleeping Giants
14307,536408,22813,Nurture,Sleeping Giants
14307,536408,22114,Nurture,Sleeping Giants
14307,536408,84029E,Nurture,Sleeping Giants
14307,536408,21479,Nurture,Sleeping Giants
14307,536408,22964,Nurture,Sleeping Giants
14307,536408,84375,Nurture,Sleeping Giants
14307,536408,22418,Nurture,Sleeping Giants
14307,536408,22178,Nurture,Sleeping Giants
14307,536408,84970L,Nurture,Sleeping Giants
14307,536408,21733,Nurture,Sleeping Giants
14307,536408,22465,Nurture,Sleeping Giants
14307,536408,84949,Nurture,Sleeping Giants
14307,536408,20685,Nurture,Sleeping Giants
14307,536408,48194,Nurture,Sleeping Giants
14307,536408,22488,Nurture,Sleeping Giants
14307,536408,22219,Nurture,Sleeping Giants
14307,536408,84879,Nurture,Sleeping Giants
14307,536408,21754,Nurture,Sleeping Giants
14307,536408,21755,Nurture,Sleeping Giants
14307,536408,22766,Nurture,Sleeping Giants
14307,536408,22610,Nurture,Sleeping Giants
14307,536408,22716,Nurture,Sleeping Giants
14307,536408,22706,Nurture,Sleeping Giants
14307,536408,22371,Nurture,Sleeping Giants
14307,536408,85014B,Nurture,Sleeping Giants
14307,536408,85014A,Nurture,Sleeping Giants
14307,536408,84997B,Nurture,Sleeping Giants
14307,536408,21212,Nurture,Sleeping Giants
14307,536408,21210,Nurture,Sleeping Giants
14307,536408,22914,Nurture,Sleeping Giants
14307,536408,22553,Nurture,Sleeping Giants
14307,536408,16237,Nurture,Sleeping Giants
14307,536408,22714,Nurture,Sleeping Giants
14307,536408,22812,Nurture,Sleeping Giants
14307,536408,84347,Nurture,Sleeping Giants
14307,536408,21587,Nurture,Sleeping Giants
14307,536408,22736,Nurture,Sleeping Giants
14307,536408,22492,Nurture,Sleeping Giants
14307,536408,22620,Nurture,Sleeping Giants
14307,536408,22619,Nurture,Sleeping Giants
14307,536408,21705,Nurture,Sleeping Giants
17951,536514,22865,Nurture,Win-Back Target
17951,536514,22485,Nurture,Win-Back Target
17951,536514,22807,Nurture,Win-Back Target
17951,536514,22633,Nurture,Win-Back Target
17951,536514,22866,Nurture,Win-Back Target
17572,536524,21111,Nurture,Win-Back Target
17572,536524,21106,Nurture,Win-Back Target
17572,536524,21107,Nurture,Win-Back Target
17572,536524,22697,Nurture,Win-Back Target
14001,536526,21135,Nurture,Value Seekers
14001,536526,22173,Nurture,Value Seekers
14001,536526,22626,Nurture,Value Seekers
14001,536526,22625,Nurture,Value Seekers
14001,536526,22624,Nurture,Value Seekers
14001,536526,21929,Nurture,Value Seekers
14001,536526,85099B,Nurture,Value Seekers
14001,536526,22411,Nurture,Value Seekers
14001,536526,22113,Nurture,Value Seekers
17905,536530,22360,Nurture,Value Seekers
17905,536530,22364,Nurture,Value Seekers
17905,536530,21657,Nurture,Value Seekers
17905,536530,22699,Nurture,Value Seekers
17905,536530,21071,Nurture,Value Seekers
17905,536530,22941,Nurture,Value Seekers
17905,536530,22120,Nurture,Value Seekers
17905,536530,22423,Nurture,Value Seekers
17905,536530,21038,Nurture,Value Seekers
17905,536530,21625,Nurture,Value Seekers
17905,536530,22783,Nurture,Value Seekers
17905,536530,22097,Nurture,Value Seekers
17905,536530,82552,Nurture,Value Seekers
17905,536530,21179,Nurture,Value Seekers
17905,536530,22185,Nurture,Value Seekers
17905,536530,22097,Nurture,Value Seekers
17905,536530,21662,Nurture,Value Seekers
17905,536530,85104,Nurture,Value Seekers
17905,536530,21654,Nurture,Value Seekers
17905,536530,21658,Nurture,Value Seekers
17905,536530,21664,Nurture,Value Seekers
17905,536530,22943,Nurture,Value Seekers
17905,536530,22411,Nurture,Value Seekers
15485,536531,21519,Nurture,Value Seekers
15485,536531,22819,Nurture,Value Seekers
15485,536531,21506,Nurture,Value Seekers
15485,536531,22704,Nurture,Value Seekers
15485,536531,21498,Nurture,Value Seekers
15485,536531,15056N,Nurture,Value Seekers
15485,536531,15056BL,Nurture,Value Seekers
15485,536531,20679,Nurture,Value Seekers
15485,536531,22049,Nurture,Value Seekers
15485,536531,21498,Nurture,Value Seekers
15485,536531,21497,Nurture,Value Seekers
15485,536531,21333,Nurture,Value Seekers
15485,536531,22727,Nurture,Value Seekers
15485,536531,22726,Nurture,Value Seekers
15485,536531,22730,Nurture,Value Seekers
15485,536531,22086,Nurture,Value Seekers
15485,536531,22910,Nurture,Value Seekers
15485,536531,22194,Nurture,Value Seekers
15485,536531,22192,Nurture,Value Seekers
15485,536531,22193,Nurture,Value Seekers
15485,536531,22191,Nurture,Value Seekers
15485,536531,22688,Nurture,Value Seekers
15485,536531,22768,Nurture,Value Seekers
15605,536535,22943,Nurture,Occasional Spenders
15605,536535,22118,Nurture,Occasional Spenders
15605,536535,22121,Nurture,Occasional Spenders
15605,536535,22119,Nurture,Occasional Spenders
15605,536535,21485,Nurture,Occasional Spenders
15605,536535,22219,Nurture,Occasional Spenders
15605,536535,21523,Nurture,Occasional Spenders
15605,536535,48194,Nurture,Occasional Spenders
15605,536535,20685,Nurture,Occasional Spenders
15605,536535,21156,Nurture,Occasional Spenders
15605,536535,22418,Nurture,Occasional Spenders
